sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
5,-1,0,0,0,0,0,0,0,1,1
10,-1,0,0,0,0,0,0,0,1,1
15,-1,0,0,0,0,0,0,0,1,1
20,-1,0,0,0,0,0,0,0,1,1
25,-9,0,0,0,1,0,0,0,2,3
30,-16,0,0,0,1,0,0,2,1,4
35,-36,0,0,0,3,0,0,3,0,6
40,-16,0,0,0,1,0,0,3,0,4
45,-36,0,0,2,0,0,1,3,0,6
50,-36,0,0,2,0,0,1,3,0,6
55,-36,0,0,2,0,0,1,3,0,6
60,-36,0,0,1,0,0,2,3,0,6
65,-16,0,0,0,0,0,2,2,0,4
70,-4,0,0,0,0,0,2,0,0,2
75,-4,0,0,0,0,0,2,0,0,2
80,-9,0,0,0,0,0,3,0,0,3
85,-16,0,0,0,0,0,3,0,1,4
90,-9,0,0,0,0,0,2,0,1,3
95,-1,0,0,0,0,0,0,0,1,1
100,-1,0,0,0,0,0,0,0,1,1
105,-1,0,0,0,0,0,0,0,1,1
110,-4,0,0,0,0,0,0,1,1,2
115,-9,0,0,0,0,0,0,2,1,3
120,-4,0,0,0,0,0,0,1,1,2
125,-1,0,0,0,0,0,0,0,1,1
130,-9,0,0,1,0,0,0,0,2,3
135,-4,0,0,0,0,0,0,0,2,2
140,-4,0,0,0,0,0,0,0,2,2
145,-4,0,0,0,0,0,0,0,2,2
150,-9,0,0,0,0,0,0,0,3,3
155,-4,0,0,1,0,0,0,0,1,2
160,-9,0,0,1,0,0,0,2,0,3
165,-9,0,0,1,0,0,0,2,0,3
170,-16,0,0,1,0,0,1,2,0,4
175,-25,0,0,2,0,0,1,2,0,5
180,-16,0,0,1,0,0,1,2,0,4
185,-9,0,1,0,0,0,1,1,0,3
190,-4,0,1,0,0,0,1,0,0,2
195,-9,0,1,0,1,0,1,0,0,3
200,-16,1,1,0,1,0,1,0,0,4
205,-25,1,1,0,1,0,1,0,1,5
210,-25,1,1,0,1,1,1,0,0,5
215,-16,1,1,0,0,1,1,0,0,4
220,-49,2,1,0,0,1,1,1,1,7
225,-36,2,1,0,0,1,1,1,0,6
230,-49,2,1,1,0,1,1,1,0,7
235,-64,2,1,1,0,1,1,2,0,8
240,-81,2,1,1,0,3,0,2,0,9
245,-64,0,1,1,0,3,0,3,0,8
250,-81,0,2,1,0,3,0,3,0,9
255,-81,0,2,1,0,3,0,3,0,9
260,-144,0,2,1,1,4,0,3,1,12
265,-169,0,2,1,1,4,0,4,1,13
270,-121,0,2,0,1,4,0,3,1,11
275,-64,0,2,0,1,4,0,0,1,8
280,-100,0,2,0,2,4,0,0,2,10
285,-121,0,2,0,2,4,0,1,2,11
290,-144,0,3,0,2,5,0,0,2,12
295,-144,0,3,0,2,5,0,0,2,12
300,-196,0,3,0,3,5,0,0,3,14
305,-100,0,2,0,3,2,0,0,3,10
310,-49,0,0,1,3,0,0,0,3,7
315,-100,0,0,1,3,0,0,1,5,10
320,-121,0,0,1,3,0,0,1,6,11
325,-256,1,1,2,3,0,0,2,7,16
330,-196,1,0,2,2,0,0,3,6,14
335,-121,1,0,2,0,0,0,3,5,11
340,-81,1,0,2,0,0,0,4,2,9
345,-81,1,0,2,0,0,0,5,1,9
350,-64,1,0,2,0,0,0,5,0,8
355,-64,1,0,2,0,0,0,5,0,8
360,-81,1,0,2,0,1,0,5,0,9
365,-16,1,0,0,0,1,0,2,0,4
370,-16,1,1,0,0,1,1,0,0,4
375,-25,1,2,0,0,1,1,0,0,5
380,-49,1,3,0,0,1,1,0,1,7
385,-81,1,3,0,0,1,2,1,1,9
390,-49,1,2,0,0,1,2,0,1,7
395,-64,1,2,0,1,0,3,0,1,8
400,-64,1,0,0,2,0,3,1,1,8
405,-64,1,0,0,2,0,3,1,1,8
410,-64,1,0,0,2,0,3,1,1,8
415,-64,1,0,0,2,0,3,1,1,8
420,-64,1,0,0,2,0,2,2,1,8
425,-36,0,0,0,2,0,1,2,1,6
430,-49,0,1,0,2,1,0,2,1,7
435,-49,0,1,0,2,1,0,2,1,7
440,-49,0,1,0,2,1,0,2,1,7
445,-81,0,1,0,2,1,0,3,2,9
450,-121,0,1,0,2,1,0,3,4,11
455,-81,0,1,0,0,1,0,4,3,9
460,-64,0,1,0,0,1,0,4,2,8
465,-36,0,1,0,0,1,0,4,0,6
470,-36,0,1,0,0,1,0,4,0,6
475,-64,0,2,1,0,1,0,4,0,8
480,-64,0,2,1,0,1,0,4,0,8
485,-64,0,4,0,0,1,0,2,1,8
490,-81,0,4,0,1,1,0,2,1,9
495,-49,0,4,0,1,1,0,0,1,7
500,-49,0,4,0,1,1,0,0,1,7
505,-49,0,4,0,1,1,0,0,1,7
510,-36,0,4,0,1,0,0,0,1,6
515,-4,0,0,0,1,0,0,0,1,2
520,-9,0,0,0,2,0,0,0,1,3
525,-25,0,0,0,2,0,1,0,2,5
530,-49,0,1,0,2,0,1,1,2,7
535,-36,0,0,0,2,0,1,1,2,6
540,-49,0,0,0,2,0,1,1,3,7
545,-9,0,0,0,0,0,1,1,1,3
550,-4,0,0,0,0,0,1,1,0,2
555,-4,0,0,0,0,0,1,1,0,2
560,-4,0,0,0,0,0,1,1,0,2
565,-4,0,0,0,0,0,1,1,0,2
570,-4,0,0,0,0,0,1,1,0,2
575,-1,0,0,0,0,0,1,0,0,1
580,-1,0,0,0,0,0,1,0,0,1
585,-1,0,0,0,0,0,1,0,0,1
590,-1,0,0,0,0,0,1,0,0,1
595,-4,0,0,0,1,0,1,0,0,2
600,-9,0,0,0,1,0,2,0,0,3
605,-16,0,0,0,0,0,2,2,0,4
610,-36,0,0,0,0,0,3,2,1,6
615,-25,0,0,0,0,0,3,2,0,5
620,-36,0,0,1,0,0,3,2,0,6
625,-36,0,0,1,0,0,3,2,0,6
630,-36,0,0,1,0,1,3,1,0,6
635,-16,0,0,0,0,1,3,0,0,4
640,-36,0,0,0,1,1,3,1,0,6
645,-36,0,0,0,1,1,3,0,1,6
650,-49,0,0,0,1,1,3,0,2,7
655,-64,0,0,0,1,1,3,0,3,8
660,-64,0,1,0,0,1,3,0,3,8
665,-36,0,1,0,0,1,3,0,1,6
670,-36,0,1,0,0,1,3,1,0,6
675,-49,0,1,0,0,1,3,2,0,7
680,-64,0,1,0,0,2,3,2,0,8
685,-64,0,1,0,0,2,3,2,0,8
690,-169,1,1,0,0,3,3,4,1,13
695,-100,1,0,0,0,0,3,5,1,10
700,-121,1,0,1,0,0,3,5,1,11
705,-144,1,0,1,0,0,4,5,1,12
710,-225,1,0,1,0,0,6,5,2,15
715,-256,1,0,1,0,0,7,5,2,16
720,-289,1,0,0,0,0,7,6,3,17
725,-196,1,0,0,0,0,7,3,3,14
730,-169,1,0,0,1,0,7,1,3,13
735,-169,1,0,0,1,0,7,0,4,13
740,-256,1,0,1,1,1,7,0,5,16
745,-225,1,0,0,1,1,7,0,5,15
750,-225,1,0,0,1,1,7,0,5,15
755,-169,0,0,0,1,1,5,1,5,13
760,-100,0,0,0,1,1,2,1,5,10
765,-81,0,0,0,1,1,0,1,6,9
770,-81,0,0,0,1,1,0,1,6,9
775,-121,0,0,1,1,1,0,1,7,11
780,-144,0,0,2,0,1,0,2,7,12
785,-169,1,0,2,0,1,0,2,7,13
790,-169,1,0,2,0,1,1,2,6,13
795,-144,1,0,2,0,1,1,3,4,12
800,-169,1,0,3,0,1,1,3,4,13
805,-121,1,0,4,0,1,1,4,0,11
810,-121,1,1,3,0,1,1,3,1,11
815,-121,1,1,1,1,1,1,4,1,11
820,-64,1,1,0,1,1,1,2,1,8
825,-49,1,1,0,1,1,1,0,2,7
830,-64,1,1,0,1,2,1,0,2,8
835,-81,1,1,0,1,2,2,0,2,9
840,-64,1,0,0,1,2,2,0,2,8
845,-64,1,0,0,1,2,2,0,2,8
850,-49,1,0,0,1,0,2,0,3,7
855,-64,1,0,0,1,0,2,1,3,8
860,-100,1,0,0,1,0,3,2,3,10
865,-100,1,0,0,1,0,3,2,3,10
870,-100,1,0,0,1,0,3,2,3,10
875,-49,1,0,0,0,0,3,2,1,7
880,-81,2,0,0,0,0,4,3,0,9
