sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
5,0,0,0,0,0,0,0,0,0,0
10,-9,0,0,0,0,1,0,2,0,3
15,-25,0,0,1,0,1,0,3,0,5
20,-49,0,0,1,0,2,0,4,0,7
25,-49,0,0,1,0,2,0,4,0,7
30,-36,0,0,1,0,2,0,3,0,6
35,-4,0,0,0,0,2,0,0,0,2
40,-9,0,1,0,0,2,0,0,0,3
45,-25,0,1,0,0,3,0,1,0,5
50,-25,0,1,0,1,3,0,0,0,5
55,-25,0,1,0,1,3,0,0,0,5
60,-36,0,1,0,1,3,0,0,1,6
65,-16,0,1,0,0,3,0,0,0,4
70,-16,0,1,0,0,3,0,0,0,4
75,-25,0,1,0,0,3,0,1,0,5
80,-36,0,1,0,0,3,0,2,0,6
85,-81,2,1,0,0,3,1,2,0,9
90,-64,2,1,0,0,2,1,2,0,8
95,-81,3,0,0,0,2,1,2,1,9
100,-64,3,0,0,1,0,1,2,1,8
105,-121,4,0,0,1,0,1,3,2,11
110,-169,4,0,0,1,0,1,5,2,13
115,-225,4,0,0,1,0,1,7,2,15
120,-225,4,0,1,1,0,1,6,2,15
125,-169,4,0,0,1,0,1,5,2,13
130,-225,4,0,0,2,0,2,4,3,15
135,-289,4,2,0,2,0,2,3,4,17
140,-196,4,2,0,2,0,2,0,4,14
145,-225,4,2,0,2,0,2,1,4,15
150,-256,5,2,0,2,0,3,0,4,16
155,-144,2,2,0,2,0,1,1,4,12
160,-100,0,2,0,3,0,0,1,4,10
165,-100,0,2,0,3,0,0,1,4,10
170,-100,0,2,0,3,0,0,1,4,10
175,-121,0,2,1,3,0,0,1,4,11
180,-144,0,2,1,3,1,0,1,4,12
185,-100,0,2,1,3,1,0,1,2,10
190,-36,0,2,1,0,1,0,1,1,6
195,-25,0,2,1,0,1,0,1,0,5
200,-64,0,2,2,0,2,0,2,0,8
205,-81,0,2,2,0,2,0,3,0,9
210,-64,0,2,2,0,1,0,3,0,8
215,-64,0,1,2,1,1,0,3,0,8
220,-49,0,0,2,1,1,0,3,0,7
225,-49,0,0,2,1,0,0,3,1,7
230,-64,0,0,2,2,0,0,3,1,8
235,-81,0,0,2,2,0,0,3,2,9
240,-64,0,0,1,2,0,0,3,2,8
245,-49,0,0,0,2,0,0,3,2,7
250,-36,0,0,0,2,0,0,1,3,6
255,-25,0,0,0,2,0,0,0,3,5
260,-25,0,0,0,2,0,0,0,3,5
265,-36,0,0,0,3,0,0,0,3,6
270,-64,0,1,0,3,0,1,0,3,8
275,-16,0,1,0,2,0,1,0,0,4
280,-25,0,1,0,2,0,2,0,0,5
285,-25,0,2,0,1,0,2,0,0,5
290,-16,0,2,0,0,0,2,0,0,4
295,-49,0,3,0,0,0,2,1,1,7
300,-49,0,3,0,0,0,3,1,0,7
305,-25,0,3,0,0,0,0,1,1,5
310,-25,0,3,0,0,0,0,1,1,5
315,-36,0,3,0,0,0,0,2,1,6
320,-49,0,3,0,0,0,0,3,1,7
325,-64,0,3,0,0,0,0,4,1,8
330,-81,1,3,0,0,0,0,4,1,9
335,-64,1,0,0,1,0,0,4,2,8
340,-100,1,0,0,1,0,0,6,2,10
345,-196,1,0,0,3,0,1,7,2,14
350,-225,1,0,0,3,0,1,8,2,15
355,-225,1,0,0,3,0,1,8,2,15
360,-169,0,0,0,3,0,0,8,2,13
365,-169,0,0,0,3,0,0,8,2,13
370,-169,0,0,0,3,0,0,8,2,13
375,-289,0,0,0,5,0,0,8,4,17
380,-324,0,0,0,6,0,0,8,4,18
385,-361,0,0,0,6,1,0,8,4,19
390,-484,0,0,0,6,1,0,10,5,22
395,-361,0,0,0,4,1,0,11,3,19
400,-289,0,0,0,3,3,0,11,0,17
405,-324,0,0,0,3,3,0,12,0,18
410,-361,0,0,0,3,3,0,13,0,19
415,-289,0,0,0,0,4,0,13,0,17
420,-324,0,0,0,0,4,0,14,0,18
425,-256,0,0,0,0,0,0,14,2,16
430,-441,1,0,0,1,0,0,16,3,21
435,-484,1,0,0,1,0,0,16,4,22
440,-484,1,0,0,1,0,0,16,4,22
445,-484,1,0,0,1,0,0,16,4,22
450,-625,2,0,0,2,0,0,17,4,25
455,-625,2,1,0,2,0,0,16,4,25
460,-625,2,1,0,2,0,0,16,4,25
465,-576,2,1,0,2,0,0,14,5,24
470,-484,2,1,0,2,0,0,12,5,22
475,-324,2,1,0,2,0,0,8,5,18
480,-324,2,1,0,2,0,1,6,6,18
485,-256,2,1,0,0,1,1,6,5,16
490,-196,2,1,0,1,1,1,6,2,14
495,-144,2,1,0,1,1,1,6,0,12
500,-121,2,1,0,0,1,1,6,0,11
505,-144,2,1,0,1,1,1,6,0,12
510,-121,2,1,0,0,1,1,6,0,11
515,-64,0,1,0,0,1,0,6,0,8
520,-81,0,1,1,0,1,0,6,0,9
525,-100,0,1,1,0,1,0,6,1,10
530,-121,0,1,1,0,1,0,6,2,11
535,-144,0,1,1,0,1,0,7,2,12
540,-196,0,1,1,1,1,0,7,3,14
545,-144,0,1,0,1,1,1,5,3,12
550,-100,0,1,0,1,1,1,3,3,10
555,-64,0,1,0,1,1,1,1,3,8
560,-49,0,1,0,1,1,1,0,3,7
565,-49,0,1,0,1,1,1,0,3,7
570,-49,0,1,0,1,1,1,0,3,7
575,-36,0,1,1,0,1,1,0,2,6
580,-16,0,1,1,0,1,1,0,0,4
585,-25,0,2,1,0,1,1,0,0,5
590,-36,0,2,1,1,1,1,0,0,6
595,-25,0,2,1,0,1,1,0,0,5
600,-49,1,2,1,0,1,1,1,0,7
605,-36,1,0,1,0,0,1,3,0,6
610,-49,1,0,1,0,0,1,3,1,7
615,-64,1,0,1,0,0,1,4,1,8
620,-81,1,0,1,0,0,2,4,1,9
625,-100,1,0,2,0,0,2,4,1,10
630,-121,2,0,2,0,0,2,4,1,11
635,-64,2,0,0,0,0,2,3,1,8
640,-49,2,0,0,0,0,2,2,1,7
645,-36,2,0,0,0,0,2,1,1,6
650,-36,2,0,0,0,0,3,0,1,6
655,-36,2,0,0,0,0,3,0,1,6
660,-36,2,0,0,0,0,3,0,1,6
665,-9,0,0,0,0,0,2,0,1,3
670,-1,0,0,0,0,0,0,0,1,1
675,-4,0,0,0,0,0,0,1,1,2
680,-9,0,0,0,0,0,0,2,1,3
685,-16,0,0,0,0,0,0,2,2,4
690,-25,0,0,0,0,0,0,3,2,5
695,-9,0,0,0,0,0,0,0,3,3
700,-9,0,0,0,0,0,0,0,3,3
705,-9,0,0,0,0,0,0,0,3,3
710,-16,0,0,0,0,0,0,1,3,4
715,-9,0,0,0,0,0,0,0,3,3
720,-16,0,0,0,0,0,1,0,3,4
725,-4,0,1,0,0,0,1,0,0,2
730,-9,0,1,1,0,0,1,0,0,3
735,-16,0,1,1,0,0,1,1,0,4
740,-49,0,1,1,1,0,1,3,0,7
745,-49,0,1,1,0,0,1,4,0,7
750,-64,0,2,1,0,0,1,4,0,8
755,-49,0,2,1,0,0,1,3,0,7
760,-49,0,3,0,1,0,1,2,0,7
765,-49,1,3,0,1,0,1,1,0,7
770,-81,1,3,0,2,1,1,0,1,9
775,-100,1,3,0,2,1,1,1,1,10
780,-81,1,3,0,2,1,1,0,1,9
785,-36,1,1,0,2,0,1,0,1,6
790,-25,1,0,0,2,0,1,0,1,5
795,-36,1,0,0,2,0,1,0,2,6
