sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
5,-1,0,0,0,0,0,0,0,1,1
10,-1,0,0,0,0,0,0,0,1,1
15,-9,0,1,1,0,0,0,0,1,3
20,-9,0,1,1,0,0,0,0,1,3
25,-9,0,0,1,0,0,1,0,1,3
30,-16,0,0,0,0,0,1,2,1,4
35,-16,0,0,0,0,0,1,1,2,4
40,-16,0,0,0,0,1,1,0,2,4
45,-16,0,0,0,0,1,1,0,2,4
50,-16,0,0,0,0,1,1,0,2,4
55,-16,0,0,0,0,1,1,0,2,4
60,-9,0,0,0,0,0,1,0,2,3
65,-9,0,0,0,0,0,1,0,2,3
70,-9,0,0,0,0,0,1,0,2,3
75,-9,0,0,0,0,0,1,0,2,3
80,-16,0,0,0,0,0,1,0,3,4
85,-36,1,0,1,0,0,1,0,3,6
90,-36,1,0,1,0,1,0,0,3,6
95,-25,0,0,1,0,1,0,0,3,5
100,-25,0,0,1,0,1,0,0,3,5
105,-36,0,0,1,0,2,0,0,3,6
110,-64,0,0,1,0,2,0,1,4,8
115,-64,0,0,1,0,2,0,1,4,8
120,-81,0,0,1,0,2,0,2,4,9
125,-64,0,0,1,0,0,0,2,5,8
130,-100,0,0,2,0,0,1,2,5,10
135,-121,0,0,2,0,0,1,2,6,11
140,-225,0,0,2,1,0,1,4,7,15
145,-289,0,0,2,1,1,2,4,7,17
150,-361,0,0,1,3,0,2,5,8,19
155,-256,0,0,0,3,0,2,3,8,16
160,-196,0,0,0,3,0,2,1,8,14
165,-196,0,0,0,3,0,3,0,8,14
170,-225,0,0,0,4,0,3,0,8,15
175,-256,0,1,0,4,0,3,0,8,16
180,-196,0,1,0,3,0,3,0,7,14
185,-100,0,1,0,0,0,3,0,6,10
190,-100,0,2,0,0,0,3,0,5,10
195,-49,0,2,0,0,0,3,1,1,7
200,-49,0,2,0,0,0,4,1,0,7
205,-49,0,2,0,0,0,4,1,0,7
210,-49,0,1,0,0,0,5,1,0,7
215,-36,0,0,0,0,0,5,1,0,6
220,-49,0,0,0,0,0,5,1,1,7
225,-100,1,0,1,0,0,5,1,2,10
230,-100,1,0,1,0,0,5,1,2,10
235,-100,1,0,1,0,0,5,1,2,10
240,-81,1,0,1,0,0,4,1,2,9
245,-36,0,0,1,0,0,0,2,3,6
250,-36,0,0,1,0,0,0,2,3,6
255,-49,1,0,1,0,0,0,2,3,7
260,-81,0,0,1,0,1,0,4,3,9
265,-100,0,0,1,0,1,0,4,4,10
270,-121,0,0,1,0,1,0,3,6,11
275,-121,0,0,0,0,2,1,2,6,11
280,-144,0,0,0,1,2,2,1,6,12
285,-121,0,0,0,1,2,2,0,6,11
290,-121,0,0,0,1,2,2,0,6,11
295,-225,0,0,0,1,3,3,0,8,15
300,-289,0,0,0,1,4,4,0,8,17
305,-225,0,0,0,0,4,4,0,7,15
310,-144,0,0,0,0,4,4,0,4,12
315,-196,0,0,0,0,4,4,3,3,14
320,-225,1,0,0,0,4,4,3,3,15
325,-256,1,0,1,1,4,4,4,1,16
330,-196,1,0,1,0,4,3,5,0,14
335,-225,2,0,1,1,4,2,5,0,15
340,-169,1,0,1,1,4,0,5,1,13
345,-144,0,0,1,1,4,0,5,1,12
350,-225,0,0,1,2,4,0,6,2,15
355,-225,0,0,1,2,4,0,6,2,15
360,-196,0,0,1,2,4,0,5,2,14
365,-196,0,0,0,2,4,1,5,2,14
370,-169,0,0,0,2,4,1,3,3,13
375,-144,0,0,0,2,4,1,2,3,12
380,-144,0,0,0,2,4,1,0,5,12
385,-169,0,0,0,2,4,2,0,5,13
390,-196,0,0,0,2,4,2,0,6,14
395,-196,0,1,0,0,4,3,1,5,14
400,-121,0,1,0,0,4,3,1,2,11
405,-81,0,1,0,0,4,3,1,0,9
410,-121,0,2,0,0,4,3,2,0,11
415,-144,0,2,0,0,4,3,3,0,12
420,-144,0,2,0,0,4,3,3,0,12
425,-81,0,0,0,1,2,3,3,0,9
430,-81,0,0,0,1,1,3,4,0,9
435,-81,0,0,0,1,0,3,5,0,9
440,-81,0,0,0,1,0,3,5,0,9
445,-144,0,0,0,2,0,3,6,1,12
450,-144,0,0,0,2,0,3,6,1,12
455,-225,0,0,0,3,0,4,6,2,15
460,-196,0,0,0,4,0,4,4,2,14
465,-144,0,0,0,4,0,4,2,2,12
470,-121,0,0,0,4,0,4,1,2,11
475,-100,0,0,0,4,0,4,0,2,10
480,-144,0,0,1,4,0,4,1,2,12
485,-100,0,0,1,3,0,4,2,0,10
490,-49,0,0,1,0,0,4,2,0,7
495,-64,1,0,1,0,0,4,2,0,8
500,-81,1,0,1,0,0,4,3,0,9
505,-100,1,1,1,0,0,4,3,0,10
510,-121,1,1,1,0,0,4,3,1,11
515,-36,0,1,1,0,0,0,3,1,6
520,-49,0,1,1,0,0,0,3,2,7
525,-49,0,1,1,0,0,0,3,2,7
530,-49,0,1,1,0,0,0,3,2,7
535,-81,0,1,2,1,0,0,3,2,9
540,-100,0,1,2,1,0,0,3,3,10
545,-64,0,1,1,1,0,0,2,3,8
550,-36,0,1,0,1,0,0,1,3,6
555,-25,0,1,0,1,0,0,0,3,5
560,-36,0,1,0,2,0,0,0,3,6
565,-49,0,1,0,2,0,0,0,4,7
570,-49,0,1,0,2,0,0,0,4,7
575,-16,0,1,1,0,0,0,0,2,4
580,-4,0,1,1,0,0,0,0,0,2
585,-4,0,1,1,0,0,0,0,0,2
590,-4,0,1,1,0,0,0,0,0,2
595,-16,0,1,1,0,1,1,0,0,4
600,-49,0,1,2,0,2,1,1,0,7
605,-16,0,1,0,0,2,1,0,0,4
610,-25,0,1,0,0,2,1,0,1,5
615,-36,0,2,0,0,2,1,0,1,6
620,-49,0,2,0,0,2,1,0,2,7
625,-64,0,2,0,1,2,1,0,2,8
630,-64,0,2,0,1,2,1,0,2,8
635,-36,0,0,0,1,1,1,0,3,6
640,-49,1,0,0,1,0,1,0,4,7
645,-49,1,0,0,1,0,1,0,4,7
650,-64,1,0,0,1,0,1,1,4,8
655,-121,1,0,0,1,0,1,2,6,11
660,-121,1,0,0,1,0,1,2,6,11
665,-81,0,0,0,1,0,0,2,6,9
670,-100,0,0,0,1,0,0,2,7,10
675,-100,0,0,0,1,0,0,2,7,10
680,-121,0,0,0,1,0,0,3,7,11
685,-144,0,0,0,1,0,0,4,7,12
690,-169,0,1,0,1,0,0,4,7,13
695,-144,0,1,0,1,0,0,3,7,12
700,-169,0,1,0,1,0,0,3,8,13
705,-100,0,1,0,1,0,0,0,8,10
710,-169,0,1,1,1,0,1,1,8,13
715,-169,1,1,0,1,0,1,1,8,13
720,-169,1,2,0,1,0,1,0,8,13
725,-144,1,1,0,1,0,1,0,8,12
730,-196,1,0,2,2,0,1,0,8,14
735,-225,1,0,2,2,0,1,1,8,15
740,-225,1,0,2,2,0,1,1,8,15
745,-289,1,0,2,2,0,2,2,8,17
750,-324,1,0,2,2,0,3,2,8,18
755,-196,0,0,2,2,0,0,2,8,14
760,-256,0,0,2,2,0,0,2,10,16
765,-256,0,0,2,2,0,0,2,10,16
770,-289,0,0,2,2,0,0,3,10,17
775,-400,0,0,3,2,0,0,4,11,20
780,-484,0,0,3,2,0,1,4,12,22
785,-324,1,0,0,2,0,1,2,12,18
790,-361,3,0,0,2,0,2,0,12,19
795,-441,3,0,0,3,0,2,0,13,21
800,-484,3,0,0,3,0,3,0,13,22
805,-529,3,0,1,3,0,3,0,13,23
810,-529,3,0,0,4,0,3,0,13,23
815,-441,3,0,0,3,0,3,1,11,21
820,-289,3,0,1,2,0,3,2,6,17
825,-121,3,0,1,0,0,3,2,2,11
830,-121,3,0,1,0,0,3,3,1,11
835,-100,3,0,1,0,0,3,3,0,10
840,-121,3,0,1,0,0,4,3,0,11
845,-49,1,0,1,0,0,2,3,0,7
850,-49,0,0,2,0,1,0,3,1,7
855,-64,0,1,2,0,1,0,3,1,8
860,-81,0,1,2,0,1,0,3,2,9
865,-100,0,1,2,0,1,0,4,2,10
870,-100,0,1,2,0,1,0,4,2,10
875,-121,0,1,3,0,1,0,4,2,11
880,-25,0,1,1,0,1,0,0,2,5
