sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
685,-64,0,2,0,2,2,0,0,2,8
690,-36,0,1,0,2,1,0,0,2,6
695,-64,0,0,0,2,2,0,2,2,8
700,-49,0,0,0,2,1,0,2,2,7
705,-64,1,0,0,2,1,0,2,2,8
710,-121,1,0,0,2,0,0,3,5,11
715,-144,1,0,0,2,0,1,3,5,12
720,-121,1,0,0,2,0,0,3,5,11
725,-121,0,0,0,2,0,0,4,5,11
730,-121,0,0,0,2,0,0,4,5,11
735,-144,0,0,0,2,0,0,4,6,12
740,-144,0,0,0,2,0,0,4,6,12
745,-144,0,0,0,2,0,0,4,6,12
750,-144,0,0,0,1,0,0,4,7,12
755,-100,0,0,0,0,0,0,4,6,10
760,-144,0,0,1,0,0,0,6,5,12
765,-121,0,0,1,0,0,0,6,4,11
770,-81,1,0,1,0,0,0,6,1,9
775,-64,1,0,1,0,0,0,6,0,8
780,-49,1,0,0,0,0,0,6,0,7
785,-49,1,1,0,0,0,1,4,0,7
790,-49,1,1,0,0,0,1,4,0,7
795,-49,1,1,0,0,0,1,4,0,7
800,-16,1,1,0,0,0,1,1,0,4
805,-16,1,1,0,0,0,1,1,0,4
810,-4,1,0,0,0,0,1,0,0,2
815,-36,1,1,1,0,0,1,1,1,6
820,-25,1,0,1,0,0,1,1,1,5
825,-36,1,0,1,1,0,1,1,1,6
830,-64,1,0,1,1,0,1,3,1,8
835,-64,1,0,1,1,0,1,3,1,8
840,-49,0,0,1,1,0,0,3,2,7
845,-64,0,0,1,1,0,0,3,3,8
850,-64,0,0,1,1,0,0,3,3,8
855,-81,0,0,1,1,0,0,4,3,9
860,-100,0,0,1,1,1,0,4,3,10
865,-121,0,0,1,2,1,0,4,3,11
870,-169,0,0,1,2,2,0,5,3,13
875,-144,0,0,2,0,2,0,5,3,12
880,-100,0,1,2,0,2,0,5,0,10
885,-100,0,1,2,0,2,0,5,0,10
890,-144,0,1,2,0,3,0,6,0,12
895,-169,0,1,2,0,3,0,7,0,13
900,-144,0,1,2,0,3,0,6,0,12
905,-81,0,1,0,0,3,0,4,1,9
910,-81,0,1,0,0,3,0,4,1,9
915,-25,0,1,0,0,3,0,0,1,5
920,-25,0,1,0,0,3,0,0,1,5
925,-36,0,2,0,0,3,0,0,1,6
930,-36,0,2,0,0,2,0,0,2,6
935,-36,0,1,0,0,3,0,0,2,6
940,-9,0,0,0,0,0,1,0,2,3
945,-16,0,0,0,0,0,1,0,3,4
950,-25,0,0,0,0,0,1,0,4,5
955,-25,0,0,0,0,0,1,0,4,5
960,-25,0,0,0,0,0,0,1,4,5
965,-36,0,0,0,1,0,0,1,4,6
970,-36,0,0,0,1,0,0,1,4,6
975,-49,0,0,0,1,0,0,2,4,7
980,-49,0,0,0,1,0,0,2,4,7
985,-81,0,0,1,1,0,0,2,5,9
990,-144,1,0,2,2,0,0,2,5,12
995,-81,1,0,2,0,1,0,2,3,9
1000,-64,1,0,2,0,1,0,3,1,8
1005,-64,1,1,2,0,1,0,3,0,8
1010,-64,1,1,2,0,1,0,3,0,8
1015,-121,1,2,2,0,1,0,4,1,11
1020,-81,2,2,1,0,1,0,3,0,9
1025,-49,2,2,0,0,1,0,2,0,7
1030,-25,2,2,0,0,1,0,0,0,5
1035,-49,2,2,0,1,1,0,0,1,7
1040,-81,3,2,0,2,1,0,0,1,9
1045,-121,3,2,0,2,1,1,0,2,11
1050,-169,4,2,0,2,1,1,0,3,13
1055,-144,4,1,0,2,0,1,0,4,12
1060,-144,4,0,1,2,0,1,0,4,12
1065,-169,4,0,1,3,0,1,0,4,13
1070,-196,4,0,1,3,0,1,0,5,14
1075,-256,4,0,2,3,0,1,1,5,16
1080,-196,3,0,2,3,0,0,1,5,14
1085,-196,2,0,2,3,0,1,1,5,14
1090,-196,0,0,2,4,0,0,1,7,14
1095,-225,0,1,2,4,0,0,1,7,15
1100,-225,0,1,2,4,0,0,1,7,15
1105,-256,0,1,2,4,0,0,2,7,16
1110,-256,0,1,2,3,0,0,2,8,16
1115,-196,0,1,2,3,0,0,2,6,14
1120,-169,0,1,2,2,0,1,2,5,13
1125,-100,0,2,2,0,0,1,2,3,10
1130,-81,0,2,3,0,1,1,2,0,9
1135,-100,0,2,3,0,1,1,3,0,10
1140,-144,0,2,4,0,1,2,3,0,12
1145,-100,1,3,2,0,1,2,1,0,10
1150,-64,1,3,0,0,1,2,0,1,8
1155,-81,1,3,0,0,1,2,0,2,9
1160,-144,1,3,0,0,3,3,0,2,12
1165,-144,1,3,0,0,3,3,0,2,12
1170,-196,1,3,0,1,2,4,0,3,14
