sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
5,0,0,0,0,0,0,0,0,0,0
10,-1,0,0,0,0,0,0,1,0,1
15,-1,0,0,0,0,0,0,0,1,1
20,-1,0,0,0,0,0,0,0,1,1
25,-4,0,0,0,0,0,0,0,2,2
30,-16,0,1,0,0,0,1,0,2,4
35,-25,0,0,0,0,0,1,1,3,5
40,-36,0,0,0,0,0,1,1,4,6
45,-49,0,0,0,0,0,1,1,5,7
50,-64,0,1,0,0,0,1,1,5,8
55,-49,0,0,0,0,0,1,1,5,7
60,-49,0,0,0,0,0,1,0,6,7
65,-49,0,0,0,0,0,1,0,6,7
70,-64,0,1,0,0,0,1,0,6,8
75,-81,0,2,0,0,0,1,0,6,9
80,-121,0,2,1,1,0,1,0,6,11
85,-121,0,2,0,2,0,1,0,6,11
90,-100,0,2,0,1,0,1,0,6,10
95,-100,0,3,1,0,0,1,0,5,10
100,-64,0,3,1,0,0,1,0,3,8
105,-49,0,3,2,0,0,1,0,1,7
110,-49,0,3,2,0,1,1,0,0,7
115,-49,0,3,2,0,1,1,0,0,7
120,-49,0,3,2,0,1,1,0,0,7
125,-25,0,2,2,0,0,1,0,0,5
130,-9,0,0,2,0,0,1,0,0,3
135,-49,0,0,3,0,1,2,1,0,7
140,-81,0,0,3,0,0,2,3,1,9
145,-100,0,0,3,0,0,2,4,1,10
150,-81,0,0,2,0,0,3,3,1,9
155,-49,0,0,0,0,0,3,3,1,7
160,-49,0,0,0,0,0,3,2,2,7
165,-64,0,0,1,1,1,3,0,2,8
170,-64,0,0,0,2,1,3,0,2,8
175,-64,0,0,0,2,1,3,0,2,8
180,-49,0,0,0,2,1,3,0,1,7
185,-16,0,0,0,0,1,3,0,0,4
190,-16,0,0,0,0,1,3,0,0,4
195,-36,1,0,0,0,1,3,1,0,6
200,-49,1,0,0,1,1,3,1,0,7
205,-64,1,0,1,1,1,3,1,0,8
210,-36,0,0,1,0,1,3,1,0,6
215,-16,0,0,1,1,1,0,1,0,4
220,-49,0,0,1,1,1,0,2,2,7
225,-64,0,0,1,1,2,0,2,2,8
230,-100,0,0,1,1,2,0,3,3,10
235,-121,0,0,1,1,2,0,4,3,11
240,-100,0,0,1,0,2,0,4,3,10
245,-81,0,0,1,0,2,0,6,0,9
250,-81,0,0,1,0,2,0,6,0,9
255,-100,0,0,1,0,2,0,6,1,10
260,-100,0,0,1,0,2,0,7,0,10
265,-144,0,1,1,0,2,0,8,0,12
270,-169,0,1,1,0,3,0,8,0,13
275,-121,0,1,1,0,3,0,6,0,11
280,-81,0,1,0,0,3,0,5,0,9
285,-36,0,1,0,0,3,0,2,0,6
290,-16,0,1,0,0,3,0,0,0,4
295,-25,0,1,0,1,3,0,0,0,5
300,-25,0,1,0,1,3,0,0,0,5
305,-4,0,0,0,1,1,0,0,0,2
310,-9,0,0,0,1,1,0,1,0,3
315,-16,1,0,0,1,0,0,2,0,4
320,-25,1,0,0,1,0,1,2,0,5
325,-49,1,0,0,1,0,1,2,2,7
330,-36,1,0,0,1,0,1,1,2,6
335,-64,1,0,0,1,1,1,1,3,8
340,-49,1,0,0,1,1,1,0,3,7
345,-49,1,0,0,1,1,1,0,3,7
350,-64,1,0,0,1,1,2,0,3,8
355,-121,2,0,0,2,1,2,0,4,11
360,-144,2,0,0,2,1,2,0,5,12
365,-121,3,0,0,0,1,2,0,5,11
370,-144,3,0,0,0,2,3,0,4,12
375,-100,3,0,0,0,2,3,0,2,10
380,-100,3,0,1,1,2,3,0,0,10
385,-144,5,0,1,1,2,3,0,0,12
390,-121,5,0,1,0,2,3,0,0,11
395,-36,1,0,1,0,2,2,0,0,6
400,-16,0,0,1,0,2,1,0,0,4
405,-16,0,0,2,0,2,0,0,0,4
410,-16,0,0,2,0,2,0,0,0,4
415,-16,0,0,2,0,2,0,0,0,4
420,-16,0,0,2,0,2,0,0,0,4
425,-16,1,0,2,1,0,0,0,0,4
430,-36,1,0,3,1,0,0,1,0,6
435,-36,1,0,3,1,0,0,1,0,6
440,-64,1,0,3,1,0,0,2,1,8
445,-81,1,0,3,1,0,0,2,2,9
450,-121,1,0,3,1,0,0,2,4,11
455,-49,1,0,1,1,0,0,0,4,7
460,-49,1,0,0,1,0,0,0,5,7
465,-64,1,0,0,1,0,1,0,5,8
470,-81,1,0,0,1,0,2,0,5,9
475,-121,2,0,0,1,0,2,0,6,11
480,-121,2,0,0,1,0,2,0,6,11
485,-64,2,0,0,0,0,2,0,4,8
490,-64,2,0,0,0,0,2,0,4,8
495,-36,2,0,0,0,0,2,0,2,6
500,-16,2,0,0,0,0,2,0,0,4
505,-64,3,0,1,0,0,2,2,0,8
