sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
5,0,0,0,0,0,0,0,0,0,0
10,-1,0,0,0,0,0,0,0,1,1
15,-1,0,0,0,0,0,0,0,1,1
20,-1,0,0,0,0,0,0,0,1,1
25,-4,0,0,0,0,1,0,0,1,2
30,-16,1,0,0,0,1,0,1,1,4
35,-9,0,0,0,0,1,0,1,1,3
40,-9,0,0,0,0,1,0,1,1,3
45,-36,0,1,0,0,1,0,2,2,6
50,-49,0,1,0,0,1,0,2,3,7
55,-64,0,1,1,0,1,0,2,3,8
60,-81,0,1,1,0,1,0,2,4,9
65,-64,0,1,0,0,1,0,0,6,8
70,-81,0,1,0,0,1,0,0,7,9
75,-81,0,1,0,0,1,0,0,7,9
80,-100,0,1,0,0,1,0,0,8,10
85,-144,0,2,0,0,1,0,0,9,12
90,-144,0,1,0,0,1,0,0,10,12
95,-100,0,0,0,0,0,0,0,10,10
100,-100,0,0,0,0,0,0,0,10,10
105,-144,0,0,0,0,0,0,1,11,12
110,-169,0,0,1,0,0,0,1,11,13
115,-256,1,0,1,0,0,1,2,11,16
120,-324,1,0,1,0,0,1,2,13,18
125,-256,1,0,1,0,0,1,2,11,16
130,-144,1,0,1,0,0,1,2,7,12
135,-81,1,0,1,0,0,1,2,4,9
140,-81,2,0,1,0,0,1,3,2,9
145,-49,2,0,1,0,0,1,3,0,7
150,-64,2,0,2,0,0,1,3,0,8
155,-36,3,0,0,0,0,1,2,0,6
160,-16,3,0,0,0,0,1,0,0,4
165,-36,4,0,0,0,0,2,0,0,6
170,-36,4,0,0,0,0,2,0,0,6
175,-49,4,0,0,0,0,2,0,1,7
180,-36,3,0,0,0,0,1,0,2,6
185,-9,0,0,0,0,0,1,0,2,3
190,-4,0,0,0,0,0,0,0,2,2
195,-9,0,0,0,1,0,0,0,2,3
200,-16,0,1,0,1,0,0,0,2,4
205,-25,0,1,1,1,0,0,0,2,5
210,-25,0,1,1,0,0,0,1,2,5
215,-25,0,1,1,0,0,0,3,0,5
220,-49,0,1,1,0,0,0,4,1,7
225,-36,0,1,1,0,0,0,4,0,6
230,-64,0,1,1,0,0,2,4,0,8
235,-81,0,1,1,0,0,2,5,0,9
240,-100,1,1,0,1,0,2,5,0,10
