sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
5,0,0,0,0,0,0,0,0,0,0
10,-4,0,0,0,0,0,0,1,1,2
15,-4,0,0,0,0,0,0,1,1,2
20,-4,0,0,0,0,0,0,1,1,2
25,-9,0,0,0,1,0,0,1,1,3
30,-9,0,0,0,1,0,0,2,0,3
35,-4,0,0,0,0,0,0,2,0,2
40,-16,0,1,1,0,0,0,2,0,4
45,-49,0,2,1,0,0,1,2,1,7
50,-36,0,2,1,0,0,1,2,0,6
55,-49,0,2,1,0,0,1,3,0,7
60,-49,0,2,1,0,0,1,3,0,7
65,-49,0,2,0,1,0,1,3,0,7
70,-49,0,2,0,2,0,1,2,0,7
75,-49,0,2,0,2,0,1,2,0,7
80,-25,0,2,0,2,0,1,0,0,5
85,-25,0,2,0,2,0,1,0,0,5
90,-36,0,2,0,2,1,1,0,0,6
95,-25,0,1,0,2,0,1,0,1,5
100,-16,0,0,0,2,0,1,0,1,4
105,-25,0,0,1,2,0,1,0,1,5
110,-25,0,0,1,2,0,1,0,1,5
115,-36,0,0,1,2,0,2,0,1,6
120,-25,0,0,1,1,0,2,0,1,5
125,-16,0,0,2,0,0,2,0,0,4
130,-25,0,1,2,0,0,2,0,0,5
135,-81,0,1,2,1,0,3,2,0,9
140,-64,0,1,2,0,0,3,2,0,8
145,-64,0,1,2,0,0,3,2,0,8
150,-64,0,1,2,0,0,3,2,0,8
155,-25,0,1,0,0,0,4,0,0,5
160,-36,0,1,0,0,0,4,0,1,6
165,-64,1,1,0,0,0,4,0,2,8
170,-81,1,1,0,0,1,4,0,2,9
175,-81,1,1,0,0,1,4,0,2,9
180,-100,0,2,0,1,2,3,0,2,10
185,-121,0,2,1,1,2,3,0,2,11
190,-64,0,2,1,1,2,0,0,2,8
195,-64,0,2,1,1,2,0,0,2,8
200,-64,0,2,1,1,2,0,0,2,8
205,-64,0,2,1,1,2,0,0,2,8
210,-49,0,2,1,0,2,0,1,1,7
215,-64,0,2,2,0,2,0,2,0,8
220,-81,1,2,2,0,2,0,2,0,9
225,-81,1,2,2,0,2,0,2,0,9
230,-169,2,2,3,0,3,0,3,0,13
235,-169,2,2,3,0,3,0,3,0,13
240,-144,1,2,3,0,3,0,3,0,12
245,-144,0,2,3,1,3,0,3,0,12
250,-169,0,2,3,1,3,0,4,0,13
255,-196,0,2,3,1,4,0,4,0,14
260,-225,0,2,3,1,4,0,5,0,15
265,-225,0,2,3,1,4,0,5,0,15
270,-225,0,2,2,1,4,0,6,0,15
275,-144,0,2,0,2,4,0,3,1,12
280,-100,0,2,0,2,4,0,0,2,10
285,-100,0,2,0,2,4,0,0,2,10
290,-100,0,2,0,2,4,0,0,2,10
295,-144,1,3,0,2,4,0,0,2,12
300,-121,1,3,0,1,4,1,0,1,11
305,-81,1,3,0,0,4,1,0,0,9
310,-81,1,3,0,0,4,1,0,0,9
315,-100,1,3,0,0,4,1,0,1,10
320,-81,1,3,0,0,4,1,0,0,9
325,-121,3,3,0,0,4,1,0,0,11
330,-100,3,2,0,0,4,1,0,0,10
335,-25,3,1,0,0,0,1,0,0,5
340,-49,3,0,2,0,0,1,0,1,7
345,-64,3,0,2,0,0,2,0,1,8
350,-100,3,0,2,0,0,2,1,2,10
355,-121,3,0,2,1,0,2,1,2,11
360,-121,3,0,2,1,0,2,1,2,11
365,-81,3,0,0,1,1,2,0,2,9
370,-81,3,0,0,1,1,2,0,2,9
375,-100,4,0,0,1,1,2,0,2,10
380,-100,4,0,0,1,1,2,0,2,10
385,-121,4,0,0,1,1,2,0,3,11
390,-121,4,0,0,1,1,1,0,4,11
395,-81,2,0,0,1,1,0,1,4,9
400,-81,0,0,1,1,1,0,2,4,9
405,-100,0,0,1,1,1,0,3,4,10
410,-169,0,0,1,1,1,0,3,7,13
415,-225,0,0,1,1,1,0,3,9,15
420,-225,0,1,1,0,1,0,3,9,15
425,-196,0,1,1,0,1,0,3,8,14
430,-144,0,1,1,0,1,0,3,6,12
435,-100,0,1,1,0,1,0,3,4,10
440,-121,0,1,1,0,1,0,3,5,11
445,-121,0,1,1,0,1,0,4,4,11
450,-81,0,1,1,0,1,0,4,2,9
455,-81,0,2,1,0,1,0,3,2,9
460,-81,0,2,0,0,2,1,0,4,9
465,-81,0,2,0,0,2,1,0,4,9
470,-100,0,2,0,0,3,1,0,4,10
475,-121,0,3,0,0,3,1,0,4,11
480,-121,0,3,0,0,3,1,0,4,11
485,-100,0,2,0,0,2,1,1,4,10
490,-64,0,1,1,0,0,1,1,4,8
495,-49,0,0,1,0,0,1,1,4,7
500,-100,1,0,1,0,0,1,2,5,10
505,-144,1,0,1,2,0,1,2,5,12
510,-169,1,0,1,2,0,1,2,6,13
515,-121,1,0,1,1,0,1,2,5,11
520,-64,1,0,2,0,0,1,2,2,8
525,-49,1,0,2,0,0,1,2,1,7
530,-64,1,0,2,0,0,1,4,0,8
535,-64,1,0,2,0,0,1,4,0,8
540,-100,2,0,2,0,0,1,5,0,10
545,-81,3,0,1,0,0,1,4,0,9
550,-36,3,0,0,0,0,1,1,1,6
555,-36,3,0,0,0,1,1,0,1,6
560,-49,3,0,0,0,2,1,0,1,7
565,-49,3,0,0,0,2,1,0,1,7
570,-169,3,0,1,1,3,1,1,3,13
575,-196,3,0,1,1,3,1,1,4,14
580,-121,3,0,1,0,3,1,1,2,11
585,-81,3,0,1,0,3,1,1,0,9
590,-100,4,0,1,0,3,1,1,0,10
595,-100,4,0,1,0,3,1,1,0,10
600,-121,4,0,1,0,3,1,2,0,11
605,-81,3,0,1,0,3,0,2,0,9
610,-100,3,0,1,1,3,0,2,0,10
615,-100,2,0,1,1,3,0,2,1,10
620,-100,1,0,1,1,3,0,3,1,10
625,-100,0,1,1,1,3,0,3,1,10
630,-100,0,1,1,1,3,0,3,1,10
635,-81,0,1,0,1,4,0,2,1,9
640,-49,0,1,0,1,4,0,0,1,7
645,-49,0,1,0,1,4,0,0,1,7
650,-49,0,1,0,1,4,0,0,1,7
655,-64,0,1,0,1,5,0,0,1,8
660,-81,0,1,0,1,5,0,0,2,9
665,-81,0,1,0,1,5,0,0,2,9
670,-9,0,0,0,1,0,0,0,2,3
675,-16,0,0,0,1,0,0,1,2,4
680,-25,0,0,0,1,0,0,2,2,5
685,-36,0,0,0,1,0,0,3,2,6
690,-49,0,0,0,1,0,0,3,3,7
695,-49,0,0,0,1,1,0,3,2,7
700,-36,0,0,0,0,1,0,4,1,6
705,-36,0,0,0,0,1,0,5,0,6
710,-36,0,0,0,0,1,0,5,0,6
715,-36,0,0,0,0,1,0,5,0,6
720,-49,0,0,0,0,1,0,6,0,7
725,-25,0,0,0,0,1,0,4,0,5
730,-25,0,0,0,0,3,0,2,0,5
735,-16,0,0,0,1,3,0,0,0,4
740,-36,0,0,0,1,4,1,0,0,6
745,-49,0,0,0,1,4,1,0,1,7
750,-64,0,0,0,1,5,1,0,1,8
755,-81,0,0,1,1,3,1,1,2,9
760,-64,0,0,1,1,2,1,1,2,8
765,-49,0,0,1,1,1,1,1,2,7
770,-36,0,0,1,1,0,1,1,2,6
775,-64,0,0,1,1,0,1,2,3,8
780,-100,0,0,1,1,0,2,2,4,10
785,-100,0,0,0,1,0,2,2,5,10
790,-64,0,0,0,1,0,2,0,5,8
795,-64,0,0,0,1,0,2,0,5,8
800,-100,0,0,0,2,0,3,0,5,10
805,-121,0,0,0,2,0,3,0,6,11
810,-121,0,0,0,2,0,3,0,6,11
815,-81,0,0,0,1,0,3,0,5,9
820,-49,0,0,0,0,0,3,0,4,7
825,-25,0,0,1,0,0,3,0,1,5
830,-25,0,0,1,0,0,3,0,1,5
835,-36,1,0,1,0,0,3,0,1,6
840,-25,1,0,1,0,0,3,0,0,5
845,-25,1,1,1,0,0,2,0,0,5
850,-9,0,1,1,0,0,0,0,1,3
855,-25,0,1,1,1,0,0,0,2,5
860,-25,0,1,1,1,0,0,0,2,5
865,-25,0,1,1,1,0,0,0,2,5
870,-36,0,1,1,1,0,0,0,3,6
875,-36,0,1,2,1,0,0,0,2,6
880,-25,0,1,2,0,0,0,0,2,5
885,-9,0,1,2,0,0,0,0,0,3
890,-9,0,1,2,0,0,0,0,0,3
895,-16,0,1,2,0,1,0,0,0,4
900,-25,0,1,2,0,1,0,0,1,5
905,-4,0,1,0,0,1,0,0,0,2
910,-9,0,1,0,0,2,0,0,0,3
915,-9,0,1,0,0,2,0,0,0,3
920,-25,0,1,0,0,3,0,0,1,5
925,-25,0,1,0,0,3,0,0,1,5
930,-64,0,1,0,1,3,0,1,2,8
935,-49,0,0,0,1,2,0,0,4,7
940,-49,0,0,0,1,0,0,0,6,7
945,-49,0,0,0,1,0,0,0,6,7
950,-64,0,0,1,1,0,0,0,6,8
955,-81,0,0,1,1,1,0,0,6,9
960,-100,0,0,1,1,0,0,2,6,10
965,-64,0,0,1,0,0,0,2,5,8
970,-100,0,1,2,0,0,0,2,5,10
975,-81,0,1,2,0,0,0,2,4,9
980,-49,0,1,3,0,0,0,2,1,7
985,-36,0,1,3,0,0,0,2,0,6
990,-49,0,1,4,0,0,0,2,0,7
995,-36,1,1,3,0,0,1,0,0,6
1000,-16,1,1,1,0,0,1,0,0,4
1005,-16,1,1,0,0,0,2,0,0,4
1010,-36,1,1,0,0,0,2,1,1,6
1015,-64,1,1,0,1,1,2,0,2,8
1020,-81,1,1,0,1,1,3,0,2,9
1025,-49,1,0,0,1,0,3,0,2,7
1030,-81,1,0,0,1,0,3,1,3,9
