sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
5,0,0,0,0,0,0,0,0,0,0
10,-4,0,0,0,1,0,0,0,1,2
15,-9,0,0,0,2,0,0,0,1,3
20,-16,0,0,0,3,0,0,0,1,4
25,-25,0,0,0,3,0,0,0,2,5
30,-49,0,0,0,4,0,0,0,3,7
35,-1,0,0,0,1,0,0,0,0,1
40,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0
50,-1,1,0,0,0,0,0,0,0,1
55,-25,1,0,0,0,0,1,3,0,5
60,-25,1,0,0,0,0,1,3,0,5
65,-16,1,0,1,0,0,1,1,0,4
70,-9,1,0,0,0,0,1,0,1,3
75,-25,1,0,0,0,0,1,0,3,5
80,-25,1,0,0,0,0,1,0,3,5
85,-36,1,0,0,1,0,1,0,3,6
90,-64,2,0,0,1,0,2,0,3,8
95,-64,0,0,2,1,0,0,1,4,8
100,-100,0,0,2,2,0,0,2,4,10
105,-121,0,0,3,2,0,0,2,4,11
110,-144,0,0,3,2,0,0,3,4,12
115,-144,0,0,3,2,0,0,3,4,12
120,-144,0,0,3,2,0,0,3,4,12
125,-64,0,0,1,2,0,0,1,4,8
130,-49,1,0,0,2,0,0,0,4,7
135,-64,1,0,0,2,0,0,0,5,8
140,-81,1,0,0,3,0,0,0,5,9
145,-81,1,0,0,3,0,0,0,5,9
150,-81,1,0,0,3,0,0,0,5,9
155,-64,0,0,0,3,0,0,0,5,8
160,-81,0,0,0,4,0,0,0,5,9
165,-121,0,0,1,4,0,0,1,5,11
170,-121,0,0,1,4,0,0,1,5,11
175,-121,0,0,1,4,0,0,1,5,11
180,-121,0,0,1,4,0,0,1,5,11
185,-36,0,0,1,2,0,0,1,2,6
190,-4,0,0,1,0,0,0,1,0,2
195,-9,0,0,1,0,0,0,2,0,3
200,-9,0,0,1,0,0,0,2,0,3
205,-16,0,0,1,0,0,0,3,0,4
210,-16,0,0,1,0,0,0,3,0,4
215,-4,0,0,0,0,0,0,2,0,2
220,-1,0,0,0,1,0,0,0,0,1
225,-4,0,0,0,1,0,0,0,1,2
230,-9,0,0,0,1,0,0,0,2,3
235,-25,0,0,0,2,0,0,0,3,5
240,-36,0,0,1,2,0,0,0,3,6
245,-16,0,0,1,0,0,0,1,2,4
250,-9,0,0,1,0,0,0,2,0,3
255,-9,0,0,1,0,0,0,2,0,3
260,-9,0,0,1,0,0,0,2,0,3
265,-9,0,0,1,0,0,0,2,0,3
270,-9,0,0,1,0,0,0,2,0,3
275,-1,0,1,0,0,0,0,0,0,1
280,-1,0,1,0,0,0,0,0,0,1
285,-4,0,1,0,0,0,0,0,1,2
290,-4,0,1,0,0,0,0,0,1,2
295,-4,0,1,0,0,0,0,0,1,2
300,-16,0,1,1,0,0,1,0,1,4
