sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
5,-1,1,0,0,0,0,0,0,0,1
10,-4,1,0,0,0,0,1,0,0,2
15,-4,1,0,0,0,0,1,0,0,2
20,-9,1,0,0,1,0,1,0,0,3
25,-9,1,0,0,1,0,1,0,0,3
30,-16,1,0,0,0,0,1,1,1,4
35,-9,1,0,0,0,0,1,1,0,3
40,-16,2,0,0,0,0,1,1,0,4
45,-25,3,0,0,0,0,1,1,0,5
50,-25,3,0,0,0,0,1,1,0,5
55,-36,3,0,0,0,0,1,1,1,6
60,-9,2,0,0,0,0,0,1,0,3
65,-4,0,0,0,0,1,0,1,0,2
70,-4,0,0,0,0,1,0,1,0,2
75,-25,0,0,0,1,1,0,3,0,5
80,-25,0,0,0,1,1,0,3,0,5
85,-49,0,0,0,1,1,0,5,0,7
90,-81,0,0,0,1,2,0,6,0,9
95,-36,0,0,0,1,2,0,2,1,6
100,-16,0,0,0,1,2,0,0,1,4
105,-16,0,0,0,1,2,0,0,1,4
110,-49,0,1,0,1,2,0,1,2,7
115,-36,0,1,0,1,2,0,0,2,6
120,-64,0,1,0,1,4,0,0,2,8
125,-36,0,1,1,0,4,0,0,0,6
130,-36,0,1,1,0,4,0,0,0,6
135,-49,0,1,1,0,4,0,1,0,7
140,-49,0,1,1,0,4,0,1,0,7
145,-49,0,1,1,0,4,0,1,0,7
150,-36,0,0,2,0,3,0,1,0,6
155,-16,0,0,2,0,0,0,2,0,4
160,-49,0,0,2,2,0,0,2,1,7
165,-64,0,0,2,2,0,0,3,1,8
170,-100,0,0,2,2,0,1,4,1,10
175,-144,1,0,2,2,0,1,4,2,12
180,-144,1,0,2,2,0,1,4,2,12
185,-100,1,0,1,2,0,2,1,3,10
190,-81,1,0,0,3,0,2,0,3,9
195,-144,1,0,0,4,0,2,2,3,12
200,-100,1,0,0,4,0,2,0,3,10
205,-121,2,0,0,4,0,2,0,3,11
210,-144,2,0,0,5,0,2,0,3,12
215,-121,0,0,1,5,0,0,1,4,11
220,-144,0,0,1,6,0,0,1,4,12
225,-196,0,1,1,6,0,1,1,4,14
230,-196,0,1,1,6,0,0,1,5,14
235,-225,0,1,2,6,0,0,1,5,15
240,-256,0,1,2,6,0,0,2,5,16
245,-144,0,1,2,4,0,0,3,2,12
250,-81,0,1,2,2,0,0,4,0,9
255,-64,0,1,2,1,0,0,4,0,8
260,-64,0,1,2,0,1,0,4,0,8
265,-81,0,1,2,0,1,0,5,0,9
