sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
5,-4,0,0,0,0,0,0,0,2,2
10,-9,0,0,1,0,0,0,0,2,3
15,-25,0,0,1,1,0,0,0,3,5
20,-36,0,0,2,1,0,0,0,3,6
25,-36,0,0,2,1,0,0,0,3,6
30,-16,0,0,2,0,0,0,0,2,4
35,-9,0,0,2,0,0,0,0,1,3
40,-9,0,0,2,0,1,0,0,0,3
45,-16,0,0,2,0,1,0,0,1,4
50,-9,0,0,2,0,1,0,0,0,3
55,-9,0,0,2,0,1,0,0,0,3
60,-9,0,1,1,0,1,0,0,0,3
65,-36,0,1,0,0,2,0,0,3,6
70,-49,0,1,0,0,2,0,0,4,7
75,-64,0,1,0,0,2,1,0,4,8
80,-64,0,1,0,0,2,1,0,4,8
85,-100,0,1,0,0,3,1,0,5,10
90,-121,0,1,0,0,3,1,0,6,11
95,-81,0,0,0,0,0,2,1,6,9
100,-81,0,0,0,0,0,2,1,6,9
105,-121,0,0,1,0,0,2,2,6,11
110,-225,1,0,1,0,1,2,2,8,15
115,-289,1,0,1,0,0,2,5,8,17
120,-361,1,0,1,0,0,2,7,8,19
125,-289,1,0,0,0,0,2,6,8,17
130,-225,1,1,0,0,0,2,3,8,15
135,-225,1,1,0,1,1,2,1,8,15
140,-256,1,2,0,2,1,2,0,8,16
145,-256,1,2,0,2,1,2,0,8,16
150,-196,1,2,0,1,1,2,0,7,14
155,-121,1,2,0,0,1,2,0,5,11
160,-121,1,2,0,0,1,2,0,5,11
165,-49,1,2,0,0,1,2,0,1,7
170,-36,1,2,0,0,1,2,0,0,6
175,-36,1,2,0,0,1,2,0,0,6
180,-49,1,2,0,0,2,2,0,0,7
185,-25,1,0,0,0,1,2,0,1,5
190,-25,1,0,0,0,0,2,0,2,5
195,-36,1,0,0,0,0,2,0,3,6
200,-64,1,0,0,0,0,2,0,5,8
205,-64,1,0,0,0,0,2,0,5,8
210,-64,1,0,0,0,0,2,1,4,8
215,-36,2,0,0,0,0,2,1,1,6
220,-36,2,0,0,0,0,2,2,0,6
225,-100,2,0,1,0,0,3,2,2,10
230,-64,2,0,1,0,0,3,2,0,8
235,-64,2,0,1,0,0,3,2,0,8
240,-81,2,0,1,1,0,3,2,0,9
245,-49,0,0,1,1,0,2,3,0,7
250,-25,0,0,1,1,0,0,3,0,5
255,-100,1,0,2,2,1,0,3,1,10
260,-100,0,0,3,2,1,0,3,1,10
265,-121,0,0,3,2,1,0,4,1,11
270,-121,0,0,3,2,1,0,4,1,11
275,-49,0,0,3,2,1,0,0,1,7
280,-49,0,0,2,2,1,0,0,2,7
285,-49,0,0,1,2,1,0,0,3,7
290,-36,0,0,0,2,1,0,0,3,6
295,-49,0,0,0,2,1,0,0,4,7
300,-49,1,0,0,1,1,0,0,4,7
305,-9,1,0,0,0,1,0,0,1,3
310,-9,1,0,0,0,1,0,0,1,3
315,-9,1,0,0,0,1,0,0,1,3
320,-9,1,0,0,0,1,0,1,0,3
325,-16,2,0,0,0,1,0,1,0,4
330,-49,1,0,2,0,1,1,1,1,7
335,-49,0,0,2,0,1,0,1,3,7
340,-64,0,0,2,0,1,0,1,4,8
345,-121,0,1,2,0,1,1,2,4,11
350,-100,0,1,2,0,1,0,2,4,10
355,-144,0,1,2,0,1,0,3,5,12
360,-169,0,1,2,1,1,0,2,6,13
365,-100,0,1,0,1,1,0,0,7,10
370,-100,0,1,0,1,1,0,0,7,10
375,-100,0,1,0,1,1,0,0,7,10
380,-100,0,1,0,1,1,0,0,7,10
