sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
5,0,0,0,0,0,0,0,0,0,0
10,-4,0,0,0,1,0,0,0,1,2
15,-9,0,0,0,2,0,0,0,1,3
20,-16,0,0,0,3,0,0,0,1,4
25,-25,0,0,0,3,0,0,0,2,5
30,-49,0,0,0,4,0,0,0,3,7
35,-25,0,0,0,4,0,0,1,0,5
40,-1,0,0,0,0,0,0,1,0,1
45,-1,0,0,0,0,0,0,1,0,1
50,-4,0,1,0,0,0,0,1,0,2
55,-16,0,1,0,0,0,0,2,1,4
60,-9,0,1,0,0,0,0,2,0,3
65,-9,0,0,0,0,0,1,2,0,3
70,-9,0,0,0,0,0,1,2,0,3
75,-16,0,0,1,0,0,1,2,0,4
80,-64,1,0,1,0,0,1,3,2,8
85,-81,1,0,1,0,0,1,4,2,9
90,-144,1,0,1,1,0,1,5,3,12
95,-144,0,0,1,1,0,0,6,4,12
100,-196,0,1,1,2,0,0,6,4,14
105,-225,0,1,1,2,0,0,6,5,15
110,-256,0,1,1,2,0,0,7,5,16
115,-256,0,1,1,2,0,0,7,5,16
120,-289,0,1,1,2,1,0,7,5,17
125,-169,0,1,0,2,1,0,4,5,13
130,-100,0,1,0,2,1,0,1,5,10
135,-81,0,1,0,2,1,0,0,5,9
140,-121,0,1,0,2,2,0,0,6,11
145,-144,1,1,0,2,2,0,0,6,12
150,-144,1,1,0,2,2,0,0,6,12
155,-64,1,1,0,0,2,0,0,4,8
160,-64,1,1,1,0,2,0,0,3,8
165,-64,1,1,1,0,2,0,0,3,8
170,-49,1,1,1,0,2,0,0,2,7
175,-36,1,1,1,0,2,0,0,1,6
180,-25,1,1,1,0,2,0,0,0,5
185,-4,1,0,1,0,0,0,0,0,2
190,-4,1,0,1,0,0,0,0,0,2
195,-4,1,0,1,0,0,0,0,0,2
200,-4,1,0,1,0,0,0,0,0,2
205,-16,1,0,1,1,0,0,1,0,4
210,-25,1,0,1,1,0,0,2,0,5
215,-9,1,0,0,1,0,0,1,0,3
220,-4,1,0,0,1,0,0,0,0,2
225,-9,1,0,0,1,0,1,0,0,3
230,-36,1,0,0,2,0,1,0,2,6
235,-36,1,0,0,2,0,1,0,2,6
240,-64,1,0,1,2,0,1,1,2,8
245,-16,1,0,0,0,0,1,0,2,4
250,-25,1,0,0,1,1,1,1,0,5
255,-16,1,0,0,0,1,1,1,0,4
260,-16,1,0,0,0,1,1,1,0,4
265,-16,1,0,0,0,1,1,1,0,4
270,-36,1,1,0,0,1,1,1,1,6
275,-49,1,1,0,0,1,1,2,1,7
280,-36,1,1,0,0,1,1,0,2,6
285,-36,1,1,0,0,1,1,0,2,6
290,-36,1,1,0,0,1,1,0,2,6
295,-49,1,1,0,0,1,1,0,3,7
300,-81,1,1,0,1,1,2,0,3,9
