sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
5,-1,0,0,0,0,0,0,0,1,1
10,-1,0,0,0,0,0,0,0,1,1
15,-9,0,0,1,0,0,0,0,2,3
20,-25,0,0,1,0,1,0,1,2,5
25,-25,0,0,1,0,1,0,1,2,5
30,-25,0,1,1,0,0,0,1,2,5
35,-49,0,0,2,0,0,0,3,2,7
40,-49,0,0,2,0,0,0,3,2,7
45,-64,0,0,2,0,0,0,3,3,8
50,-81,0,0,2,0,0,0,4,3,9
55,-81,0,0,2,0,0,0,4,3,9
60,-81,0,0,2,0,0,0,4,3,9
65,-81,0,0,2,0,0,0,4,3,9
70,-81,0,0,2,0,0,0,4,3,9
75,-121,0,0,2,0,1,0,5,3,11
80,-144,0,0,2,0,1,0,5,4,12
85,-169,0,0,2,0,1,0,5,5,13
90,-169,0,0,2,0,1,0,5,5,13
95,-144,0,0,2,0,1,0,5,4,12
100,-144,1,0,2,0,2,0,5,2,12
105,-144,1,1,3,0,2,0,5,0,12
110,-256,1,1,4,0,2,1,5,2,16
115,-225,1,1,4,0,2,1,5,1,15
120,-196,1,1,4,0,2,1,5,0,14
125,-121,1,1,2,0,3,1,3,0,11
130,-64,1,1,1,0,3,1,1,0,8
135,-49,1,1,0,0,3,1,1,0,7
140,-36,1,1,0,0,3,1,0,0,6
145,-49,1,1,0,0,3,1,0,1,7
150,-64,2,1,0,0,3,1,0,1,8
155,-25,2,0,0,0,1,1,0,1,5
160,-16,2,0,0,0,0,1,0,1,4
165,-36,2,0,0,1,0,1,1,1,6
170,-64,2,0,0,1,0,1,2,2,8
175,-100,2,0,0,2,0,1,2,3,10
180,-100,2,0,0,2,0,1,2,3,10
185,-25,2,0,0,0,0,1,2,0,5
190,-36,2,0,0,0,1,1,2,0,6
195,-36,2,0,0,0,1,1,2,0,6
200,-36,2,0,0,0,1,1,2,0,6
205,-36,2,0,0,0,1,1,2,0,6
210,-64,2,1,1,0,1,1,2,0,8
215,-49,2,0,1,0,0,1,2,1,7
220,-81,2,0,1,0,0,1,3,2,9
225,-81,2,0,1,0,0,1,3,2,9
230,-81,2,0,1,0,0,1,3,2,9
235,-100,2,0,1,0,0,1,3,3,10
240,-100,2,0,1,0,0,1,3,3,10
245,-49,0,0,1,0,0,0,3,3,7
250,-49,0,0,1,0,0,0,3,3,7
255,-49,0,0,1,0,0,0,3,3,7
260,-81,0,0,1,1,0,0,4,3,9
265,-121,0,0,1,2,0,0,5,3,11
270,-169,0,0,1,2,0,0,6,4,13
275,-169,0,0,2,0,0,0,7,4,13
280,-144,0,0,2,0,0,0,7,3,12
285,-169,0,1,2,0,0,1,9,0,13
290,-196,0,1,2,0,0,1,10,0,14
295,-225,0,1,2,0,1,1,10,0,15
300,-289,0,1,3,0,1,1,11,0,17
305,-169,0,1,0,0,1,1,9,1,13
310,-144,0,1,0,0,1,1,8,1,12
315,-81,0,1,0,0,1,1,5,1,9
320,-64,0,1,0,0,1,1,4,1,8
325,-25,0,1,0,0,1,1,0,2,5
330,-25,0,1,0,0,1,1,0,2,5
335,-36,0,0,0,0,0,1,1,4,6
340,-64,0,0,0,0,0,1,2,5,8
345,-64,0,0,0,0,0,1,2,5,8
350,-64,0,0,0,0,0,1,2,5,8
355,-81,0,0,0,0,0,1,2,6,9
360,-100,0,0,0,0,0,1,3,6,10
365,-100,1,0,0,0,0,1,4,4,10
370,-100,1,0,0,0,0,1,5,3,10
375,-64,1,0,0,0,1,1,5,0,8
380,-100,1,1,1,0,1,1,5,0,10
385,-144,1,1,1,0,2,1,6,0,12
390,-169,1,1,2,0,2,1,6,0,13
395,-100,1,1,0,1,2,1,4,0,10
400,-81,1,1,0,1,2,1,2,1,9
405,-100,1,2,0,1,2,1,1,2,10
410,-100,1,2,0,1,2,1,0,3,10
415,-121,1,2,0,1,2,1,0,4,11
420,-121,1,2,0,1,2,1,0,4,11
425,-100,1,2,0,0,3,1,0,3,10
430,-64,2,2,0,0,3,1,0,0,8
435,-81,2,2,0,0,3,1,0,1,9
440,-64,2,2,0,0,3,1,0,0,8
445,-81,2,2,0,0,3,1,1,0,9
450,-81,2,2,0,0,3,1,1,0,9
455,-49,2,2,0,0,0,1,2,0,7
460,-49,2,0,0,1,0,2,2,0,7
465,-81,2,0,0,2,0,2,2,1,9
470,-81,2,0,0,2,0,2,2,1,9
475,-100,3,0,0,2,0,2,2,1,10
480,-169,3,0,1,2,0,2,4,1,13
485,-121,3,0,1,1,0,2,4,0,11
490,-121,4,0,1,0,0,2,4,0,11
495,-144,4,1,1,0,0,2,4,0,12
500,-144,4,1,1,0,0,2,4,0,12
505,-144,4,1,1,0,0,2,4,0,12
510,-144,4,1,1,0,0,2,4,0,12
515,-121,4,1,1,0,0,1,4,0,11
520,-64,2,1,1,0,0,0,4,0,8
525,-36,0,1,1,0,0,0,4,0,6
530,-49,0,1,1,0,0,0,5,0,7
535,-64,0,1,2,0,0,0,5,0,8
540,-81,0,1,2,0,1,0,5,0,9
545,-64,0,1,2,0,1,0,3,1,8
550,-25,0,1,0,0,1,0,2,1,5
555,-9,0,1,0,0,1,0,0,1,3
560,-16,0,1,0,0,2,0,0,1,4
565,-49,0,2,0,0,3,0,1,1,7
570,-100,1,2,1,0,3,0,2,1,10
575,-16,1,0,0,0,2,0,0,1,4
580,-9,1,0,0,0,1,0,0,1,3
585,-16,2,0,0,0,0,0,1,1,4
590,-25,2,0,0,0,0,0,1,2,5
595,-36,2,0,0,0,0,1,1,2,6
600,-49,2,0,0,0,0,1,2,2,7
605,-49,2,0,0,0,0,1,2,2,7
610,-36,2,0,0,0,0,1,3,0,6
615,-49,2,0,0,0,0,1,4,0,7
620,-64,2,0,0,0,0,2,4,0,8
625,-64,2,0,0,0,0,2,4,0,8
630,-81,2,0,0,0,0,3,4,0,9
635,-49,1,0,0,0,0,2,4,0,7
640,-25,0,0,0,0,0,0,5,0,5
645,-25,0,0,0,0,0,0,5,0,5
650,-36,0,0,1,0,0,0,5,0,6
655,-49,0,0,2,0,0,0,5,0,7
660,-81,0,0,3,0,0,0,5,1,9
665,-64,0,1,2,0,0,1,3,1,8
670,-36,0,1,2,0,1,1,0,1,6
675,-25,0,1,1,0,1,1,0,1,5
680,-16,0,1,0,0,1,1,0,1,4
685,-16,0,1,0,0,1,1,0,1,4
690,-25,0,1,0,0,1,1,0,2,5
695,-9,0,1,0,0,1,1,0,0,3
700,-16,0,1,1,0,1,1,0,0,4
705,-16,0,1,1,0,1,1,0,0,4
710,-16,0,1,1,0,1,1,0,0,4
715,-36,0,1,1,0,2,1,1,0,6
720,-36,0,1,1,0,2,1,1,0,6
725,-36,0,1,1,0,2,1,1,0,6
730,-49,0,0,1,2,0,1,1,2,7
735,-49,0,0,1,2,0,1,1,2,7
740,-81,0,0,2,2,0,1,2,2,9
745,-81,0,0,2,2,0,1,2,2,9
750,-100,0,0,2,2,0,1,3,2,10
755,-64,0,0,2,1,0,2,3,0,8
760,-64,0,1,2,0,0,2,3,0,8
765,-100,0,2,2,0,1,2,3,0,10
770,-100,0,2,2,0,1,2,3,0,10
775,-121,0,2,2,0,1,2,4,0,11
780,-121,0,2,2,0,1,2,4,0,11
785,-100,0,2,1,0,1,2,4,0,10
790,-49,0,2,0,0,1,2,2,0,7
795,-36,0,2,0,0,1,2,1,0,6
800,-36,0,2,0,0,1,2,0,1,6
805,-36,0,2,0,0,1,2,0,1,6
810,-49,0,2,0,1,1,2,0,1,7
815,-81,0,2,1,2,2,2,0,0,9
820,-64,0,2,1,0,2,3,0,0,8
825,-64,0,2,1,0,2,3,0,0,8
830,-64,0,2,1,0,2,3,0,0,8
835,-81,0,2,1,0,2,3,1,0,9
840,-121,0,2,2,0,2,3,1,1,11
845,-100,0,1,2,0,2,3,1,1,10
850,-49,0,0,2,0,0,3,1,1,7
855,-100,0,0,3,1,0,3,1,2,10
860,-121,0,0,3,1,0,3,1,3,11
865,-121,0,0,3,1,0,3,1,3,11
870,-121,0,0,3,1,0,3,1,3,11
875,-49,0,0,3,0,0,3,1,0,7
880,-49,0,0,3,0,0,3,1,0,7
