ID  ,SegmentID ,Roadway Name ,From            ,To              ,Direction ,Date       ,12:00-1:00 AM ,1:00-2:00AM ,2:00-3:00AM ,3:00-4:00AM ,4:00-5:00AM ,5:00-6:00AM ,6:00-7:00AM ,7:00-8:00AM ,8:00-9:00AM ,9:00-10:00AM ,10:00-11:00AM ,11:00-12:00PM ,12:00-1:00PM ,1:00-2:00PM ,2:00-3:00PM ,3:00-4:00PM ,4:00-5:00PM ,5:00-6:00PM ,6:00-7:00PM ,7:00-8:00PM ,8:00-9:00PM ,9:00-10:00PM ,10:00-11:00PM ,11:00-12:00AM ,day_total ,day_mean
155 ,    31320 ,PARK AVENUE  ,TOMPKINS AVENUE ,DELMONICO PLACE ,EB        ,01/09/2012 ,           59 ,         17 ,         13 ,         21 ,         17 ,         41 ,         85 ,        221 ,        256 ,         199 ,          111 ,          169 ,         174 ,        211 ,        191 ,        302 ,        413 ,        311 ,        258 ,        148 ,        106 ,         104 ,           82 ,           85 ,     3594 ,149.75
160 ,    31320 ,PARK AVENUE  ,TOMPKINS AVENUE ,DELMONICO PLACE ,WB        ,01/09/2012 ,           52 ,         18 ,         13 ,         20 ,         20 ,         49 ,        111 ,        279 ,        315 ,         208 ,          207 ,          202 ,         223 ,        127 ,        205 ,        229 ,        239 ,        243 ,        211 ,        122 ,        113 ,         108 ,           84 ,           63 ,     3461 ,144.20833333333334
