rand_num,name,MC-Mean,MC-STD,NN-Dist,IM1,IM2,optim_time
1,PIECE,97588.33370225524,262383.11689868226,0.45766848377754943,0.4545931515852705,0.015489440289663547,5.633085489273071
2,PIECE,106206.02111505126,218713.44575524458,0.30426611058231257,0.501568126795133,0.014585110662288576,5.828017950057983
3,PIECE,69250.90630414581,165200.78651267552,0.4319185626097605,0.8435642629756873,0.011346255330607976,5.705408334732056
4,PIECE,2792.079515735626,4809.27068688377,0.7146105262942657,0.9369768529986048,0.0368634648360352,6.317980527877808
5,PIECE,61178.91385447693,125394.40143527201,0.34305858864044736,0.9816113669669448,0.009807798795894163,5.731902122497559
6,PIECE,35342.498721092226,74088.89994636082,0.30948158567710704,0.05361625156421749,0.03043965649026692,6.254651784896851
7,PIECE,49064.43235154724,115817.22156953797,0.31516293208737706,0.9069748934166061,0.016943853162522397,5.7503578662872314
8,PIECE,51387.81399513626,101319.96039980942,0.5549691790009443,0.8733638469546698,0.04874204701590976,5.730534076690674
9,PIECE,53367.99537254334,96053.60958775402,0.22153985037632676,0.02344117194008656,0.012480074482324494,5.728736877441406
10,PIECE,190944.0263784485,465457.0474871987,0.35130151368581775,0.6732413169257359,0.01188401381956864,5.656405925750732
11,PIECE,89069.69889987183,198321.4011226451,0.3492330700243415,0.9847942253114222,0.03379677788018571,5.762550592422485
12,PIECE,7884.5273557243345,11639.801685556238,0.3613460123887363,21.596049806450722,0.8263693240950306,6.206697463989258
13,PIECE,743.7606425280571,1285.3518699897613,0.7193846286067934,0.9729325918696528,0.014522395731593155,5.739661931991577
14,PIECE,447327.5665995178,1582501.572279902,0.34896244441119917,0.8995530436927878,0.01648486623310632,6.007311820983887
15,PIECE,51043.46594978333,106525.47041150693,0.3913451596239769,0.8379844316190447,0.017408526040855934,5.666881561279297
16,PIECE,173854.5856026001,584175.8082371306,0.5286759471202375,0.9210631934291361,0.011722828483142598,6.122236490249634
17,PIECE,34190.779818855284,79238.77218606442,0.5198065562842649,0.7672862395682795,0.017674325805669844,5.720744609832764
18,PIECE,197471.26739922332,556505.360233097,0.31670592495111477,0.7940717474052698,0.009549763506438843,5.98302149772644
19,PIECE,74674.392402771,153932.77806795534,0.31317041945523433,0.11167917859489543,0.03993292299478325,5.611969947814941
20,PIECE,32593.872449996947,50196.71197172025,0.13360516769684602,73.14221809388566,0.9229463563907149,5.50678563117981
21,PIECE,69756.74992507935,139650.7416874463,0.3073039143855876,0.8912310089558151,0.018528192013626037,5.655310869216919
22,PIECE,165410.68049699403,311513.2134471423,0.27236373129183095,0.8899482903388789,0.022500583757788028,5.6447672843933105
23,PIECE,136797.86239656067,395505.1544419775,0.26105585453692526,0.02429178795502702,0.010435076125369896,5.6778857707977295
24,PIECE,205025.11040507507,513956.0175684591,0.5378876862920573,0.6190132178725298,0.01578590859145613,5.574038743972778
25,PIECE,57797.33824847412,188961.11552198898,0.30050187954679275,0.46841579263671507,0.06356679896973455,5.779690742492676
26,PIECE,16736.70075114441,22022.076604986538,0.29420541248346355,0.983748284029262,0.0283535305832823,5.68566632270813
27,PIECE,86592.73850470733,191928.11673179388,0.2374956088341209,1.1356305665999804,0.006261639016123317,5.744248390197754
28,PIECE,91988.92114929199,187453.0599454901,0.36426566661165133,0.8338893597273325,0.014889606840617478,5.681689500808716
29,PIECE,9642.654032468796,16382.685477980842,0.5252118180003345,0.7334017989293201,0.032833189875196386,5.761059522628784
30,PIECE,256772.81673783876,742853.3004466832,0.3012665636455049,0.7257174947967723,0.007191888793703227,6.521200180053711
31,PIECE,208214.8588005371,529834.2665137189,0.32025070225029306,0.8240394457544263,0.011248560910102795,6.486786365509033
32,PIECE,59274.63553238678,111765.81053021073,0.31840535944795056,0.7199156291885369,0.008887360934810972,6.354055166244507
33,PIECE,162186.3405919037,474473.9367946588,0.378267313738674,0.8976255691332247,0.008192565537711345,6.742534637451172
34,PIECE,227.4800192217827,241.23972453435763,0.6126606333030484,0.21235096117000804,0.08577805750922535,6.976412296295166
35,PIECE,46591.87608592987,89870.75345337187,0.4204680715489413,0.9339751089967584,0.02159976528234869,5.876183271408081
36,PIECE,81439.63596619034,154992.78303767001,0.4247614355947847,1.0261243630035226,0.008858246919940522,5.825531959533691
37,PIECE,14444.213538469314,39282.02296965489,0.6556533414388933,1.0185696286276533,0.057319825757471285,6.010812997817993
38,PIECE,40457.972006637574,83009.57059821722,0.46169656306755213,1.1328693906050575,0.013991023161243975,5.733765125274658
39,PIECE,52472.82244856262,126111.40261571828,0.4118118715022477,0.6323869755594672,0.03633418186591461,6.528714418411255
40,PIECE,85098.97123620987,178444.7476452354,0.6368958311727493,1.1290343568824608,0.012967829346062847,6.429655313491821
41,PIECE,38924.636786441806,107248.51500700247,0.4152139912394886,0.5855491560962331,0.03016024797146084,6.075726747512817
