sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
945,-9801,99,345,2714.9999999999995
950,-11025,105,399,3035.2999999999997
955,-11449,107,474,3726.9
960,-8649,93,467,3586.3
965,-4900,70,262,2097.7000000000003
970,-6724,82,240,1862.8999999999999
975,-8281,91,256,2121.3
980,-8100,90,342,2657.6
985,-4761,69,214,1752.8
990,-5329,73,207,1722.3
995,-3721,61,120,1042.8000000000002
1000,-1521,39,95,848.4999999999999
1005,-4096,64,162,1412.1000000000001
1010,-2500,50,166,1314.4
1015,-2401,49,103,877.4
1020,-3481,59,111,1002.0
1025,-3600,60,163,1354.3000000000002
1030,-4356,66,194,1562.4000000000003
1035,-3600,60,134,1146.3
1040,-6889,83,224,1839.9999999999998
1045,-5041,71,236,1994.0
1050,-3249,57,176,1476.0
1055,-1156,34,81,696.6999999999999
1060,-841,29,52,414.19999999999993
1065,-1764,42,84,682.1
1070,-1444,38,80,663.6000000000001
1075,-3600,60,155,1320.1
1080,-4225,65,216,1817.9999999999998
1085,-1369,37,102,848.6
1090,-1849,43,85,696.8999999999999
1095,-3025,55,214,1752.9999999999995
1100,-5329,73,199,1686.9000000000003
1105,-6084,78,203,1674.0
1110,-5476,74,206,1682.8000000000002
1115,-4624,68,236,1932.6999999999998
1120,-5184,72,261,2220.1
1125,-6084,78,188,1612.5
1130,-5476,74,240,2062.9
1135,-3969,63,149,1222.5
1140,-4489,67,145,1225.9
1145,-3136,56,156,1333.3999999999996
1150,-1156,34,98,878.8000000000002
1155,-1444,38,72,577.8999999999999
1160,-900,30,67,533.8000000000001
1165,-841,29,38,331.5
1170,-676,26,54,484.1
1175,-2500,50,102,867.7
1180,-2601,51,119,1024.3999999999999
1185,-2304,48,96,865.3
1190,-3600,60,132,1110.9
1195,-1936,44,89,754.6999999999998
1200,-1296,36,88,738.0999999999999
1205,-1089,33,70,623.8000000000001
1210,-1296,36,77,605.1
1215,-3969,63,173,1407.7
1220,-5184,72,208,1724.6000000000004
1225,-3249,57,136,1087.6
1230,-3969,63,185,1455.1999999999998
1235,-4624,68,182,1519.2000000000003
1240,-2809,53,147,1179.3
1245,-1849,43,104,904.8
1250,-2401,49,81,690.2999999999998
1255,-2809,53,112,927.4
1260,-3025,55,139,1163.4999999999998
1265,-4489,67,156,1296.8
1270,-5041,71,220,1815.2000000000003
1275,-5625,75,260,2087.1000000000004
1280,-9216,96,235,1980.4999999999995
1285,-8836,94,333,2547.9
1290,-10404,102,366,2772.4000000000005
1295,-7225,85,323,2460.3999999999996
1300,-4624,68,307,2341.5999999999995
1305,-4761,69,241,1924.0
1310,-9216,96,290,2397.4
1315,-12100,110,334,2648.7
1320,-10609,103,387,3188.7
1325,-7921,89,359,2878.5
1330,-13225,115,355,2880.1000000000004
1335,-12321,111,412,3385.7999999999997
1340,-11664,108,600,4567.9
1345,-10609,103,369,2984.2
1350,-9604,98,329,2677.2
1355,-7744,88,297,2421.9999999999995
1360,-7921,89,350,2858.1000000000004
1365,-9801,99,342,2688.7999999999993
1370,-10816,104,362,3041.4000000000005
1375,-4225,65,281,2142.0000000000005
1380,-3969,63,227,1888.9000000000003
1385,-2809,53,139,1118.5
1390,-1936,44,88,737.6
1395,-3481,59,114,1016.6
1400,-2704,52,106,904.9999999999999
1405,-2601,51,142,1189.6
1410,-2704,52,114,947.3999999999999
1415,-3136,56,139,1131.6999999999998
1420,-1849,43,85,755.1
1425,-1936,44,87,738.2
1430,-2500,50,108,932.2
1435,-2401,49,95,834.4000000000001
1440,-1936,44,100,803.6000000000001
1445,-841,29,86,747.6999999999999
1450,-1089,33,59,477.49999999999994
1455,-676,26,39,337.79999999999995
1460,-2401,49,100,809.5999999999999
1465,-3025,55,104,861.5
1470,-2704,52,118,1017.8
1475,-1444,38,100,863.2000000000002
1480,-2116,46,116,886.6999999999999
1485,-2809,53,182,1468.1999999999998
1490,-3249,57,150,1179.7
1495,-5041,71,176,1377.6999999999998
1500,-4624,68,174,1489.1
1505,-3249,57,111,1004.7000000000002
1510,-1764,42,95,847.3
1515,-2704,52,99,866.5
1520,-2116,46,104,906.9000000000001
1525,-3364,58,195,1626.1
1530,-1444,38,92,787.8
1535,-1444,38,73,607.1
1540,-1600,40,101,837.2000000000002
1545,-1764,42,106,887.9000000000001
1550,-1600,40,69,597.0
1555,-625,25,65,530.8
1560,-1521,39,66,529.7
1565,-3364,58,138,1112.7999999999997
1570,-4096,64,217,1836.5
1575,-4489,67,183,1516.4999999999998
1580,-2704,52,148,1164.1999999999998
1585,-2304,48,98,782.8999999999999
1590,-4356,66,160,1330.2
1595,-6724,82,209,1641.9
1600,-3025,55,177,1526.6000000000004
1605,-3600,60,133,1092.6
1610,-2916,54,103,882.5
1615,-4900,70,278,2180.7
1620,-4356,66,151,1293.1999999999998
1625,-3481,59,163,1430.6000000000001
1630,-5929,77,242,1967.8
1635,-5476,74,296,2381.4
1640,-3721,61,182,1550.5
1645,-2809,53,132,1084.1
1650,-3249,57,138,1216.8000000000002
1655,-5041,71,144,1221.0
1660,-6084,78,286,2137.8
1665,-5625,75,220,1755.8
1670,-6889,83,243,2031.9
1675,-4096,64,207,1599.1999999999998
1680,-2500,50,125,1085.8
1685,-529,23,43,389.1
1690,-961,31,55,446.9
1695,-729,27,62,559.0
1700,-1089,33,53,471.0999999999999
1705,-1681,41,80,702.1
1710,-1225,35,82,701.6999999999999
1715,-841,29,54,456.4000000000001
1720,-1089,33,85,661.1
1725,-2500,50,104,893.6000000000001
1730,-3481,59,135,1158.1
1735,-4225,65,171,1440.0
1740,-4624,68,185,1603.1
1745,-6084,78,235,1869.5000000000002
1750,-5625,75,182,1558.1999999999998
1755,-10201,101,258,2108.0
1760,-9025,95,282,2258.7999999999997
1765,-9604,98,332,2563.8
1770,-5329,73,254,2037.5999999999995
1775,-6561,81,192,1583.5
1780,-4624,68,195,1621.1
1785,-3844,62,165,1357.0
1790,-3025,55,157,1268.7
1795,-1849,43,106,901.4000000000001
1800,-1444,38,64,530.1999999999999
1805,-2601,51,91,802.2000000000002
1810,-1225,35,88,709.6999999999999
1815,-1444,38,79,686.8000000000001
