sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
795,-33489,183,1777,13756.5
800,-33856,184,1732,13307.8
805,-38025,195,1581,11894.699999999997
810,-36864,192,1527,11573.100000000004
815,-35721,189,1268,10146.599999999999
820,-33124,182,1374,10565.500000000002
825,-33856,184,1426,10661.0
830,-26244,162,1203,9372.099999999999
835,-24336,156,1138,9187.5
840,-41209,203,1953,15355.900000000001
845,-25921,161,1558,11313.8
850,-25281,159,2006,14375.500000000002
855,-28561,169,1587,11707.900000000005
860,-28900,170,972,7878.7
865,-42436,206,1583,12556.4
870,-56644,238,1937,15609.400000000003
875,-43264,208,1807,14441.700000000004
880,-46225,215,2244,18311.4
885,-42436,206,1810,14831.799999999997
890,-36864,192,1654,13491.199999999997
895,-32761,181,1269,10207.300000000003
900,-40000,200,1532,12397.2
905,-33489,183,1755,14428.599999999999
910,-52441,229,2392,19508.699999999997
915,-39204,198,2142,17617.6
920,-42025,205,1965,15763.400000000001
925,-32041,179,1654,13410.099999999999
930,-28224,168,1695,13843.000000000011
935,-18496,136,1075,9032.599999999999
940,-22500,150,901,7313.899999999998
945,-22201,149,720,5656.800000000001
950,-21316,146,644,5016.000000000001
955,-18225,135,674,5322.4
960,-22500,150,980,7836.500000000002
965,-23409,153,1003,8282.999999999998
970,-24025,155,1177,9616.799999999997
975,-19600,140,860,6947.0
980,-20736,144,890,6771.4
985,-21316,146,949,7628.300000000001
990,-20164,142,999,8019.0999999999985
995,-19044,138,862,7067.4000000000015
1000,-19321,139,736,6056.699999999999
1005,-18496,136,707,5841.1
1010,-13456,116,982,8118.499999999998
1015,-23409,153,1115,9111.8
1020,-22500,150,1173,9602.400000000001
1025,-23716,154,1179,9833.0
1030,-22801,151,1024,8329.300000000001
1035,-22500,150,945,7674.4000000000015
1040,-37636,194,1638,13238.499999999996
1045,-24336,156,1374,11311.999999999996
1050,-25921,161,1507,12144.800000000003
1055,-26569,163,1846,15127.500000000004
1060,-28900,170,2295,18757.5
1065,-21316,146,2160,17603.399999999998
1070,-22201,149,1592,12711.999999999998
1075,-21025,145,1837,15066.699999999995
1080,-22201,149,1674,13631.000000000002
1085,-29584,172,1577,12624.000000000004
1090,-22801,151,1494,12204.0
1095,-24964,158,1179,9469.100000000002
1100,-30625,175,1454,11578.099999999999
1105,-37249,193,1503,12143.600000000002
1110,-36100,190,1323,10688.299999999997
1115,-43264,208,1705,13353.900000000001
1120,-38809,197,1542,11955.499999999998
1125,-33124,182,1796,13449.099999999999
1130,-22801,151,1565,11454.999999999998
1135,-21609,147,1534,11236.4
1140,-21609,147,907,6876.200000000001
1145,-29584,172,995,7392.7
1150,-32400,180,1059,8069.900000000001
1155,-28224,168,1571,11403.800000000003
1160,-40804,202,2082,15064.700000000003
1165,-40401,201,2128,15683.199999999995
1170,-35344,188,1650,12152.099999999999
1175,-38025,195,1522,11499.799999999997
1180,-54289,233,1671,12111.299999999997
1185,-46225,215,1932,14099.3
1190,-51984,228,1827,13207.300000000003
1195,-47524,218,1677,12487.400000000001
1200,-44521,211,1608,12483.899999999998
1205,-33124,182,1965,15553.800000000003
1210,-40000,200,2789,21886.4
1215,-37636,194,2208,18255.899999999994
1220,-33856,184,2135,17911.5
1225,-33124,182,2496,20723.500000000007
1230,-22801,151,1607,12860.7
1235,-24964,158,1408,11291.399999999998
1240,-25281,159,1032,8264.599999999999
1245,-37636,194,1514,12170.900000000001
1250,-38025,195,1282,10344.4
1255,-40000,200,1438,11481.599999999999
1260,-40804,202,1484,11734.2
1265,-41616,204,1842,14122.100000000002
1270,-43264,208,1966,15024.200000000004
1275,-38025,195,1807,14144.200000000004
1280,-32400,180,1443,11435.599999999999
1285,-27889,167,1680,13498.0
1290,-22801,151,1556,12584.700000000004
1295,-22201,149,2079,16709.40000000001
1300,-22500,150,1043,8359.5
1305,-23716,154,852,6640.999999999999
1310,-22500,150,1123,8873.800000000001
1315,-22201,149,1532,12112.899999999998
1320,-19600,140,2047,16131.5
1325,-15376,124,1109,9062.0
1330,-11881,109,527,4245.5
1335,-10201,101,354,3051.5000000000005
1340,-10404,102,421,3639.6000000000004
1345,-12996,114,469,3974.6999999999994
1350,-13689,117,485,4050.4
1355,-11236,106,453,3825.2000000000003
1360,-14161,119,506,4206.300000000001
1365,-15376,124,501,4134.5
1370,-10404,102,670,5602.099999999999
1375,-17424,132,752,6144.699999999999
1380,-13456,116,541,4206.500000000001
1385,-18769,137,666,5336.4
1390,-17424,132,578,4705.9
1395,-17956,134,561,4742.700000000001
1400,-21609,147,959,8097.600000000002
1405,-21904,148,1104,9264.900000000001
1410,-36100,190,1596,13152.6
1415,-28561,169,1783,14315.000000000004
1420,-17424,132,2010,16377.400000000005
1425,-17424,132,2506,20359.499999999993
1430,-14641,121,2311,18569.500000000004
1435,-20164,142,2265,17953.799999999996
1440,-20164,142,1809,14210.800000000005
1445,-17956,134,869,6863.399999999999
1450,-39204,198,1613,12574.899999999998
1455,-36100,190,1383,10439.2
1460,-49284,222,2291,17402.899999999998
1465,-52441,229,2754,21329.199999999993
1470,-37636,194,3240,24636.300000000003
1475,-44100,210,3159,23863.200000000004
1480,-33856,184,2764,21484.600000000006
1485,-24025,155,1318,9792.6
1490,-21609,147,889,6848.599999999999
1495,-22500,150,895,6749.600000000001
1500,-19881,141,1250,9362.599999999995
1505,-24336,156,1932,14408.100000000002
1510,-23409,153,1304,10350.400000000005
1515,-28900,170,1478,11902.200000000004
1520,-27225,165,1378,11151.400000000001
1525,-19600,140,1130,9017.3
1530,-13689,117,923,7449.100000000002
1535,-14400,120,656,5245.299999999999
1540,-13924,118,655,5270.8
1545,-14161,119,838,6603.4
1550,-10201,101,583,4849.699999999999
1555,-9025,95,502,4213.400000000001
1560,-7225,85,449,3839.5999999999995
1565,-7744,88,491,4120.5999999999985
1570,-7056,84,234,1901.6
1575,-5929,77,236,2023.0999999999997
1580,-6561,81,337,2921.0999999999995
1585,-16129,127,834,7070.9000000000015
1590,-17689,133,845,6836.100000000003
1595,-22500,150,847,6507.4
1600,-14161,119,664,5289.600000000002
1605,-13456,116,639,4871.8
1610,-13456,116,723,5456.000000000001
1615,-7396,86,521,4023.2999999999993
1620,-9216,96,292,2389.9
1625,-8281,91,464,3801.7000000000007
1630,-13924,118,615,4987.499999999999
1635,-15129,123,871,6851.299999999998
1640,-17161,131,979,7619.2
1645,-14161,119,497,4105.700000000001
1650,-11025,105,458,3727.4
1655,-12100,110,559,4313.099999999999
1660,-10816,104,497,4009.000000000001
1665,-12321,111,462,3721.900000000001
1670,-10816,104,480,3696.3999999999996
1675,-10816,104,629,4975.199999999999
1680,-12321,111,833,6413.8
1685,-22500,150,1149,9107.999999999998
1690,-28224,168,1373,11079.599999999999
1695,-20164,142,1147,9088.4
1700,-16384,128,750,6231.500000000002
1705,-15376,124,921,7706.499999999999
1710,-18225,135,1323,10963.100000000002
1715,-15376,124,1385,11170.400000000001
1720,-26569,163,1900,15244.200000000003
1725,-21609,147,1830,14542.800000000003
1730,-15376,124,1559,12298.4
1735,-15376,124,661,5117.2
1740,-17956,134,878,6619.199999999999
1745,-19600,140,1017,7678.800000000001
1750,-16129,127,626,4740.2
1755,-13689,117,596,4558.8
1760,-14161,119,847,6088.000000000001
1765,-13689,117,736,5389.400000000001
1770,-14884,122,1178,8556.8
1775,-17161,131,1516,10698.4
1780,-17161,131,2120,14802.799999999997
1785,-19321,139,1632,11624.200000000003
1790,-27889,167,1057,7902.099999999999
1795,-30976,176,1125,8468.699999999999
1800,-33856,184,1059,8211.000000000002
1805,-36100,190,1231,9169.4
1810,-46225,215,1532,11362.9
1815,-43264,208,1668,12693.099999999999
1820,-45796,214,2201,16138.399999999996
1825,-50176,224,2687,19572.500000000004
1830,-44944,212,2607,18756.500000000004
1835,-59049,243,2747,20012.7
1840,-52441,229,2474,18136.499999999996
1845,-64009,253,2886,21435.1
1850,-54289,233,3093,23410.699999999997
1855,-43681,209,2548,19197.8
1860,-59536,244,3206,24479.1
1865,-52900,230,2272,16821.000000000007
1870,-44100,210,2406,17468.699999999997
1875,-28900,170,1931,13757.200000000003
1880,-24025,155,1436,10507.3
1885,-21609,147,956,7211.900000000001
1890,-33489,183,1266,9456.300000000001
1895,-30976,176,1303,9742.2
1900,-27556,166,1039,7810.300000000003
1905,-24649,157,1005,7536.900000000001
1910,-25281,159,950,7573.999999999999
1915,-34969,187,1185,9730.8
1920,-29929,173,1370,10963.100000000002
1925,-28561,169,1533,12274.600000000002
1930,-25600,160,993,8113.5
1935,-22201,149,896,7316.8
1940,-22201,149,905,7063.700000000001
1945,-23716,154,864,6888.8
1950,-28900,170,1168,9266.099999999995
1955,-29929,173,1515,12197.500000000005
1960,-37249,193,1997,15546.899999999998
1965,-30976,176,1842,14344.999999999996
1970,-45369,213,2018,15868.099999999997
1975,-41616,204,2552,20085.7
1980,-40000,200,2316,17344.699999999993
1985,-34969,187,2264,16896.5
1990,-40000,200,1481,11051.3
1995,-45369,213,1553,12037.899999999998
2000,-43264,208,1442,11157.199999999999
2005,-37249,193,1505,11176.300000000001
2010,-46225,215,1638,12316.3
2015,-64516,254,1856,14204.599999999999
2020,-62001,249,1955,14660.300000000001
2025,-44521,211,1559,11992.799999999997
2030,-50625,225,1581,12792.899999999998
2035,-44521,211,1685,13608.699999999995
2040,-47089,217,1568,12603.400000000003
2045,-38809,197,1293,10068.699999999999
2050,-40804,202,1276,9615.500000000002
2055,-39601,199,1432,11434.600000000002
2060,-40401,201,1257,10268.499999999996
2065,-39204,198,1382,11530.400000000005
2070,-34969,187,1327,10980.1
2075,-29241,171,1295,10485.8
2080,-32041,179,1642,13381.1
2085,-25600,160,1653,13209.400000000003
2090,-25600,160,804,6469.8
2095,-22801,151,759,6148.199999999999
2100,-16129,127,730,5808.1
2105,-14884,122,561,4554.300000000001
2110,-16900,130,528,4460.299999999999
2115,-13225,115,605,4942.0
2120,-16641,129,558,4440.4
2125,-15129,123,514,4331.3
2130,-21904,148,707,6009.0
2135,-24336,156,1074,9141.799999999997
2140,-30976,176,1223,10286.599999999999
2145,-35721,189,1711,14396.399999999998
2150,-32400,180,1704,14009.200000000003
2155,-24025,155,1477,12226.6
2160,-24336,156,1268,10477.400000000001
2165,-19600,140,1175,9632.9
2170,-17161,131,687,5589.899999999999
2175,-10404,102,566,4455.900000000001
2180,-8281,91,571,4408.2
2185,-12100,110,774,5745.200000000001
2190,-7569,87,454,3558.5999999999995
2195,-9801,99,568,4570.0
2200,-12100,110,535,4406.900000000001
2205,-13924,118,650,5497.4
2210,-11881,109,596,5063.500000000001
2215,-17161,131,980,8221.199999999999
2220,-21025,145,1163,9766.200000000003
2225,-23716,154,1458,11995.8
2230,-27225,165,1469,12110.900000000001
2235,-28900,170,1515,12556.9
2240,-25921,161,986,8097.600000000002
2245,-26569,163,775,6117.299999999999
2250,-24336,156,893,7179.099999999999
2255,-24964,158,980,8073.199999999999
2260,-19321,139,987,7939.2
2265,-24964,158,976,8073.800000000003
2270,-23409,153,1165,9381.599999999999
2275,-29929,173,1071,8044.6
2280,-29929,173,1033,8574.899999999998
2285,-24964,158,1089,8880.300000000001
2290,-27889,167,1280,10454.899999999998
2295,-21316,146,883,7214.399999999998
2300,-15876,126,706,5553.4000000000015
2305,-25600,160,749,5813.500000000002
2310,-19600,140,855,6709.4000000000015
2315,-32041,179,1587,12319.499999999998
2320,-32041,179,1819,13736.500000000002
2325,-33856,184,1844,14334.800000000001
2330,-28224,168,1804,13947.899999999998
2335,-28561,169,1478,11284.199999999997
2340,-27225,165,1658,12363.300000000003
2345,-29584,172,1282,9950.599999999997
2350,-27556,166,1216,9062.399999999996
2355,-29584,172,1196,8806.799999999997
2360,-33856,184,1242,9897.599999999997
2365,-28561,169,972,8017.9
