sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
5,-1296,36,85,743.9
10,-2500,50,133,1083.5
15,-5625,75,182,1587.2999999999997
20,-13456,116,606,4849.800000000001
25,-27225,165,1226,9645.900000000005
30,-33124,182,1468,11501.7
35,-35721,189,1188,9228.2
40,-34596,186,1473,12046.8
45,-28561,169,1424,11535.400000000003
50,-27225,165,1389,11489.1
55,-35344,188,1724,14170.0
60,-28900,170,1373,11381.300000000001
65,-30276,174,1506,11975.899999999998
70,-26244,162,1259,9733.100000000002
75,-20449,143,1109,8836.699999999999
80,-31684,178,1501,11861.499999999996
85,-51984,228,2430,18949.9
90,-56169,237,2146,16655.699999999997
95,-61009,247,2079,15416.599999999995
100,-55225,235,2203,15920.100000000002
105,-50176,224,2679,19090.9
110,-37249,193,2890,20252.899999999998
115,-32400,180,2071,14765.4
120,-27889,167,1757,12671.199999999997
125,-16384,128,1296,9385.8
130,-18769,137,879,6564.3
135,-19321,139,853,6682.7
140,-17161,131,802,6356.0
145,-17424,132,813,6247.1
150,-17689,133,841,6509.6
155,-16129,127,765,6006.499999999998
160,-14161,119,712,5513.5
165,-19600,140,712,5720.999999999999
170,-19044,138,658,5102.4
175,-20164,142,834,6271.599999999999
180,-16900,130,666,5230.500000000001
185,-15625,125,735,5464.099999999999
190,-30625,175,1442,10785.000000000002
195,-32041,179,1525,11796.2
200,-35721,189,1449,11065.999999999998
205,-40000,200,1587,12197.099999999999
210,-41209,203,2087,16239.3
215,-31329,177,1786,13720.4
220,-36100,190,1847,14345.000000000004
225,-32041,179,1558,12570.8
230,-32041,179,1190,9779.900000000001
235,-28224,168,1472,11986.100000000002
240,-21316,146,1903,15375.800000000008
245,-21025,145,1493,12025.499999999998
250,-24336,156,1779,14406.400000000003
255,-18496,136,1528,12364.500000000002
260,-25600,160,1535,12338.300000000001
265,-29241,171,2040,16351.599999999999
270,-29929,173,2104,17167.100000000002
275,-35344,188,2486,20139.499999999996
280,-27889,167,1698,13512.300000000005
285,-24649,157,1447,11678.900000000001
290,-20736,144,1330,10284.999999999996
295,-20449,143,1451,11557.799999999994
300,-17956,134,1910,15128.299999999997
305,-21904,148,1814,14288.999999999995
310,-34225,185,1533,12152.899999999998
315,-38416,196,2145,16890.2
320,-41616,204,3035,23525.800000000007
325,-38025,195,2984,22821.4
330,-31329,177,2632,19996.199999999997
335,-27889,167,2350,17519.2
340,-29929,173,2156,16624.100000000006
345,-29929,173,1255,10278.200000000003
350,-32041,179,1892,15245.700000000008
355,-29241,171,1694,13744.099999999999
360,-27225,165,2269,18289.499999999996
365,-21025,145,1536,12236.599999999999
370,-22500,150,941,7392.500000000002
375,-22201,149,854,6743.299999999999
380,-25281,159,866,6947.500000000002
385,-27225,165,1027,8122.199999999999
390,-35721,189,1580,12479.500000000004
395,-25921,161,1854,14928.7
400,-25921,161,1361,11119.7
405,-19600,140,1013,8346.000000000004
410,-25281,159,992,8268.7
415,-27556,166,876,7209.700000000001
420,-27556,166,863,6593.999999999999
425,-24964,158,908,6920.4
430,-19600,140,907,6764.3
435,-14884,122,781,5948.1
440,-15376,124,1068,7997.399999999999
445,-19600,140,1111,8590.699999999997
450,-29241,171,1856,14319.399999999998
455,-38416,196,1560,12058.6
460,-39204,198,1398,10773.300000000001
465,-35721,189,1646,13040.699999999999
470,-30976,176,1528,12338.4
475,-21025,145,1534,12430.699999999999
480,-29584,172,1807,14337.0
485,-32761,181,1464,11005.5
490,-42849,207,1517,11706.8
495,-32761,181,1346,10488.900000000003
500,-35721,189,1424,11174.800000000001
505,-37636,194,1876,14765.799999999997
510,-36864,192,1137,8886.3
515,-41616,204,1135,8592.800000000001
520,-33856,184,1672,11990.7
525,-34596,186,1130,8364.5
530,-34225,185,1799,12836.8
535,-31329,177,1895,13428.900000000001
540,-33489,183,2022,14412.300000000001
545,-35344,188,2042,14632.899999999998
550,-36481,191,1400,10293.600000000002
555,-37636,194,1193,9146.700000000003
560,-36100,190,1550,11766.900000000001
565,-37636,194,1283,9746.299999999997
570,-40401,201,1599,12057.499999999996
575,-41616,204,1871,14147.599999999997
580,-34969,187,1717,12788.199999999999
585,-28561,169,1583,11721.599999999999
590,-21316,146,1473,10561.399999999994
595,-17956,134,1042,7680.100000000001
600,-19881,141,764,5901.800000000001
605,-18225,135,588,4574.9
610,-13225,115,535,4173.400000000001
615,-6889,83,310,2559.0
620,-7744,88,265,2135.6
625,-10000,100,443,3474.2
630,-13689,117,703,5379.0
635,-12100,110,424,3380.1999999999994
640,-9409,97,408,3454.8
645,-10609,103,454,3804.5000000000005
650,-4761,69,317,2597.8
655,-6241,79,295,2429.8999999999996
660,-7396,86,411,3439.9
665,-14641,121,491,4054.999999999999
670,-15129,123,680,5047.1
675,-20736,144,906,6570.100000000002
680,-21316,146,1319,9471.699999999997
685,-20449,143,834,6495.299999999999
690,-14641,121,596,4826.2
695,-22500,150,986,7730.0
700,-21609,147,844,6671.2
705,-25281,159,1150,8727.300000000001
710,-23104,152,969,7384.999999999999
715,-26569,163,1069,8188.2
720,-28224,168,1426,10747.500000000004
725,-23104,152,1071,7953.6
730,-21316,146,1233,9085.5
735,-22801,151,1548,11347.600000000004
740,-30976,176,1449,10753.300000000003
745,-36864,192,1347,10122.999999999996
750,-40000,200,1335,10137.900000000001
755,-46225,215,1568,11960.100000000002
760,-34969,187,1576,12175.999999999996
765,-39601,199,1494,11556.899999999994
770,-41616,204,1617,12485.8
775,-41209,203,1431,10942.099999999997
780,-29929,173,1280,9648.5
785,-40000,200,1809,13510.900000000005
790,-43264,208,1486,11398.5
795,-47961,219,1684,13099.3
800,-40804,202,1748,13626.3
805,-33856,184,1451,10999.800000000003
810,-29929,173,1428,10981.899999999998
815,-27556,166,1481,10909.999999999993
820,-34596,186,1635,12325.800000000001
825,-29929,173,1094,8651.699999999999
830,-30976,176,1039,7955.9
835,-35344,188,1582,12591.0
840,-31684,178,1513,12464.499999999993
845,-32400,180,1376,11182.199999999997
850,-36100,190,1188,9606.000000000002
855,-41616,204,1425,11129.4
860,-35344,188,1170,9220.4
865,-36481,191,1315,10369.8
870,-28900,170,1232,10037.900000000001
875,-21904,148,1139,9252.700000000003
880,-27556,166,1289,10249.800000000003
885,-25921,161,1555,12218.099999999999
890,-31684,178,1873,14628.500000000005
895,-29929,173,2026,16113.099999999997
900,-32761,181,2608,20772.2
905,-29241,171,1976,15626.7
910,-26244,162,1350,10773.699999999999
915,-20736,144,1514,12076.3
920,-28900,170,1969,15816.2
925,-29584,172,1686,13111.400000000001
930,-38416,196,2256,17458.0
935,-37249,193,2172,16714.399999999998
940,-32400,180,1616,12485.400000000001
945,-28224,168,1551,12606.599999999999
950,-20164,142,2028,16406.3
955,-17689,133,1824,14756.499999999996
960,-25281,159,1456,11393.7
965,-27225,165,1401,10802.099999999997
970,-19881,141,1112,8803.899999999998
975,-19881,141,1125,9120.400000000003
980,-13924,118,724,5520.799999999999
985,-10609,103,691,5503.0
990,-15625,125,662,5217.5999999999985
995,-21316,146,702,5618.4
1000,-16900,130,600,4609.999999999999
1005,-17424,132,673,5462.799999999999
1010,-25600,160,1154,9128.999999999998
1015,-19881,141,936,7243.999999999999
1020,-19321,139,1016,8106.9
1025,-28561,169,867,6960.6
1030,-29929,173,1103,8595.999999999998
1035,-26896,164,1453,10905.7
1040,-21904,148,1932,14251.900000000005
1045,-18769,137,1258,9638.400000000001
1050,-29584,172,1636,12205.400000000001
1055,-28561,169,1313,9482.099999999999
1060,-19321,139,727,5663.1
1065,-15625,125,730,5436.099999999999
1070,-14400,120,549,4378.2
1075,-11664,108,455,3606.8
1080,-15876,126,708,5614.1
1085,-15625,125,669,5096.9
1090,-11664,108,920,6658.000000000001
1095,-13225,115,1043,7489.499999999999
1100,-12769,113,591,4550.4
1105,-11449,107,501,3883.7000000000003
1110,-26244,162,942,7615.200000000001
1115,-32041,179,1153,8875.9
1120,-30276,174,1726,13036.0
1125,-20164,142,1838,13213.3
1130,-28224,168,1666,12357.500000000004
1135,-34225,185,1765,13047.7
1140,-41209,203,1543,12073.500000000002
1145,-40000,200,1578,12474.400000000005
1150,-34596,186,1400,10921.8
1155,-26569,163,1324,9778.200000000003
1160,-24649,157,1915,13852.200000000004
1165,-19881,141,1373,10192.600000000002
1170,-14641,121,710,5439.5
1175,-25921,161,1112,8450.5
1180,-22201,149,1126,8093.300000000002
1185,-24336,156,1296,9420.500000000002
1190,-16900,130,1147,8100.599999999998
1195,-15625,125,873,6568.699999999999
1200,-11449,107,739,5592.6
1205,-19600,140,852,6924.299999999999
1210,-21316,146,948,7589.6
1215,-13225,115,603,4750.299999999999
1220,-23716,154,1049,8038.4
1225,-21609,147,690,5442.9
1230,-19881,141,916,7032.4
1235,-17956,134,849,6412.600000000001
1240,-21316,146,912,7099.8
1245,-20449,143,763,6052.299999999999
