sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
785,-19881,141,780,6288.200000000001
790,-20164,142,883,7315.899999999999
795,-19600,140,958,7844.900000000003
800,-30976,176,1612,13128.999999999995
805,-29584,172,1881,15289.100000000004
810,-32041,179,1294,10452.7
815,-31329,177,1219,9892.8
820,-40000,200,1376,11236.2
825,-37636,194,1312,10717.300000000001
830,-45369,213,1788,14565.9
835,-42436,206,1528,12048.899999999998
840,-38809,197,1263,9994.9
845,-35344,188,1113,8570.300000000003
850,-34969,187,1156,9248.399999999998
855,-36864,192,1151,9101.4
860,-29929,173,1300,10400.099999999999
865,-23409,153,1392,11135.299999999997
870,-25281,159,919,7665.9
875,-26569,163,1305,10593.699999999999
880,-27225,165,1351,11187.300000000001
885,-23104,152,829,6781.8
890,-19600,140,677,5336.499999999999
895,-19600,140,852,6910.999999999999
900,-16641,129,893,7144.9
905,-20736,144,851,6800.4000000000015
910,-20736,144,875,7051.099999999999
915,-19044,138,745,6087.4
920,-15129,123,561,4544.7
925,-16641,129,523,4225.8
930,-12544,112,453,3749.3
935,-12769,113,493,4008.5999999999995
940,-11664,108,499,4186.7
945,-14884,122,543,4542.700000000001
950,-10404,102,484,4073.5000000000005
955,-10609,103,390,3193.7
960,-14161,119,585,4715.299999999999
965,-15376,124,554,4571.200000000001
970,-16900,130,539,4401.900000000001
975,-15876,126,522,4299.6
980,-32041,179,1048,8350.599999999999
985,-25281,159,1193,8936.200000000004
990,-24649,157,884,7185.099999999999
995,-20736,144,843,6915.999999999998
1000,-21609,147,1180,9408.999999999996
1005,-24336,156,1209,9259.8
1010,-26569,163,812,6493.600000000001
1015,-37636,194,1393,11185.699999999997
1020,-44100,210,1809,14655.100000000002
1025,-51076,226,1806,14278.7
1030,-45796,214,1726,14042.199999999995
1035,-36481,191,1700,13488.599999999999
1040,-31329,177,1891,14698.8
1045,-29584,172,1679,13179.300000000005
1050,-29929,173,1618,12777.3
1055,-29929,173,1142,9334.099999999999
1060,-23409,153,1169,9670.099999999999
1065,-22201,149,1004,8330.099999999995
1070,-21904,148,1069,8864.400000000003
1075,-19881,141,1038,8470.9
1080,-14400,120,590,4807.0
1085,-21025,145,962,7951.799999999999
1090,-21904,148,744,6200.1
1095,-21025,145,1013,8502.699999999999
1100,-29584,172,1142,9442.5
1105,-26569,163,1113,9152.9
1110,-19321,139,918,7502.300000000001
1115,-14884,122,726,5556.699999999999
1120,-12321,111,637,5161.199999999999
1125,-16641,129,579,4799.6
1130,-18225,135,701,5705.0
1135,-23716,154,902,7304.700000000002
1140,-36100,190,1039,8586.200000000004
1145,-29929,173,1488,12403.099999999999
1150,-26244,162,1045,8457.800000000003
1155,-20449,143,1068,8351.300000000001
1160,-19044,138,813,6496.599999999999
1165,-18496,136,944,7072.6
1170,-15129,123,872,6661.700000000001
1175,-14884,122,702,5538.199999999999
1180,-11449,107,439,3560.0
1185,-14641,121,488,4034.4999999999986
1190,-10201,101,681,5509.900000000001
1195,-8649,93,495,4124.699999999999
1200,-14161,119,936,7777.2
1205,-11881,109,789,6632.799999999999
1210,-14641,121,452,3672.5999999999995
1215,-6889,83,345,2723.1999999999994
1220,-7921,89,368,3053.1
1225,-7569,87,270,2261.0
1230,-9409,97,371,3147.8999999999996
1235,-8836,94,365,3041.9000000000005
1240,-7225,85,465,3794.4
1245,-6889,83,289,2331.1
1250,-5329,73,344,2608.8
1255,-4356,66,179,1470.3
1260,-5929,77,253,2045.2000000000003
1265,-3249,57,127,1100.3
1270,-6889,83,234,2025.3000000000002
1275,-4624,68,300,2412.1
1280,-7225,85,484,4042.700000000001
1285,-5476,74,379,3113.8999999999996
1290,-4624,68,340,2777.5
1295,-5929,77,261,2218.3999999999996
1300,-6241,79,239,1840.0000000000002
1305,-4900,70,284,2336.0
1310,-4096,64,272,2329.4999999999995
1315,-7569,87,245,1922.7000000000003
1320,-4761,69,252,2056.6000000000004
1325,-9604,98,395,3352.5
1330,-11025,105,479,3892.4
1335,-11881,109,496,4023.700000000001
1340,-14400,120,504,4226.6
1345,-16900,130,649,5138.900000000001
