sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
940,-6889,83,287,2488.8
945,-6561,81,260,2129.1
950,-10816,104,325,2673.2
955,-9604,98,385,2966.1
960,-7921,89,277,2201.9
965,-6561,81,296,2507.1
970,-8649,93,292,2303.0
975,-9025,95,396,3122.5
980,-11881,109,368,2880.3
985,-8100,90,322,2628.2000000000003
990,-10816,104,323,2741.4
995,-11025,105,406,3314.0999999999995
1000,-6400,80,317,2452.2
1005,-3600,60,187,1506.3999999999999
1010,-1369,37,100,838.3
1015,-2500,50,99,883.5000000000001
1020,-2401,49,126,1058.5000000000002
1025,-1936,44,90,753.6999999999999
1030,-2209,47,139,1114.2000000000003
1035,-729,27,38,348.20000000000005
1040,-841,29,58,517.8
1045,-1521,39,83,715.1
1050,-196,14,26,247.10000000000002
1055,-784,28,49,448.1
1060,-1681,41,80,672.5000000000001
1065,-1296,36,90,772.2
1070,-3136,56,105,896.9
1075,-3969,63,215,1775.8
1080,-6724,82,210,1715.2999999999997
1085,-3481,59,227,1914.6000000000004
1090,-3481,59,141,1149.1
1095,-3364,58,126,1084.4
1100,-4900,70,271,2155.0999999999995
1105,-4761,69,168,1419.7999999999997
1110,-2401,49,136,1149.5
1115,-1444,38,79,665.7
1120,-1521,39,81,662.6000000000001
1125,-2601,51,121,1002.5
1130,-2704,52,163,1440.0
1135,-3025,55,113,926.6999999999999
1140,-2116,46,119,914.1
1145,-1024,32,64,566.9
1150,-1225,35,78,642.5999999999999
1155,-1024,32,65,527.7
1160,-2025,45,92,735.1000000000001
1165,-3025,55,108,907.9
1170,-3481,59,156,1308.4
1175,-3844,62,160,1353.9999999999998
1180,-5625,75,276,2209.1000000000004
1185,-4624,68,210,1784.9
1190,-3969,63,168,1298.6
1195,-4225,65,198,1620.0
1200,-2601,51,146,1227.6999999999998
1205,-5041,71,215,1660.8000000000002
1210,-5041,71,235,1997.9
1215,-5041,71,204,1690.5999999999997
1220,-4225,65,176,1514.3
1225,-5476,74,162,1333.6
1230,-3481,59,148,1221.6
1235,-4096,64,172,1388.9000000000003
1240,-3721,61,158,1334.6000000000001
1245,-4096,64,162,1318.6
1250,-5929,77,267,1986.2000000000007
1255,-3844,62,191,1503.2
1260,-5329,73,179,1457.7
1265,-2209,47,136,1094.0
1270,-4761,69,155,1290.8000000000002
1275,-2401,49,159,1196.9000000000003
1280,-3249,57,108,914.9
1285,-1764,42,102,881.0
1290,-1444,38,86,711.9
1295,-2209,47,85,715.3999999999999
1300,-3025,55,129,1092.8000000000002
1305,-2401,49,91,795.0999999999999
1310,-2916,54,144,1233.3
1315,-1156,34,63,551.7
1320,-1024,32,63,511.9
1325,-2401,49,110,962.4000000000001
1330,-1849,43,100,878.2999999999998
